"timestamp","score","temp","humid","co2","voc","pm25","lux","spl_a"
"2024-02-14T21:27:17.000Z",77,22.18,19.95,584,202,4,63.4,54.6
"2024-02-14T21:27:07.000Z",76,22.18,19.88,584,221,4,63.3,54.3
"2024-02-14T21:26:57.000Z",76,22.25,19.85,584,222,9,63.4,54.6
"2024-02-14T21:26:46.000Z",76,22.24,19.89,583,225,9,63.4,55.1
"2024-02-14T21:26:36.000Z",76,22.22,19.89,584,223,5,63.5,54.8
"2024-02-14T21:26:26.000Z",77,22.2,19.96,584,215,6,63.4,55.1
"2024-02-14T21:26:16.000Z",77,22.18,20.02,586,214,6,63.4,55.2
"2024-02-14T21:26:06.000Z",77,22.18,19.96,587,210,7,63.4,54.9
"2024-02-14T21:25:56.000Z",77,22.17,19.98,586,216,7,63.4,54.9
"2024-02-14T21:25:46.000Z",76,22.12,19.93,587,221,6,63.4,55.5
"2024-02-14T21:25:36.000Z",77,22.17,19.97,587,215,4,63.5,55.1
"2024-02-14T21:25:26.000Z",77,22.18,20,588,213,5,63.4,55
"2024-02-14T21:25:16.000Z",76,22.17,19.93,589,215,4,63.5,55.7
"2024-02-14T21:25:06.000Z",77,22.22,19.97,589,212,8,63.5,56.1
"2024-02-14T21:24:56.000Z",76,22.22,19.97,589,217,5,63.5,57.2
"2024-02-14T21:24:46.000Z",77,22.21,19.98,588,219,8,63.6,55.7
"2024-02-14T21:24:36.000Z",75,22.24,19.88,588,220,11,63.6,54.9
"2024-02-14T21:24:26.000Z",74,22.28,19.94,589,228,12,63.5,54.8
"2024-02-14T21:24:16.000Z",76,22.3,19.88,589,212,6,63.6,55.4
"2024-02-14T21:24:06.000Z",76,22.18,19.93,591,217,5,63.5,55
"2024-02-14T21:23:56.000Z",76,22.21,19.97,592,227,8,63.5,55.9
"2024-02-14T21:23:46.000Z",76,22.22,20.04,594,226,8,63.5,55.9
"2024-02-14T21:23:36.000Z",76,22.21,19.95,594,216,5,63.5,54.8
"2024-02-14T21:23:26.000Z",76,22.2,19.95,594,210,5,63.5,55.4
"2024-02-14T21:23:16.000Z",76,22.24,19.93,594,210,7,63.5,55.6
"2024-02-14T21:23:06.000Z",76,22.25,19.98,596,221,8,63.6,55.2
"2024-02-14T21:22:56.000Z",76,22.2,20.02,596,226,7,63.6,54.1
"2024-02-14T21:22:46.000Z",77,22.18,20.07,596,215,4,63.6,54.2
"2024-02-14T21:22:36.000Z",76,22.17,20.02,596,219,7,63.6,54.4
"2024-02-14T21:22:26.000Z",76,22.2,19.96,596,234,8,63.6,55
"2024-02-14T21:22:16.000Z",76,22.18,20.03,596,216,7,63.6,54.6
"2024-02-14T21:22:06.000Z",74,22.18,20.03,599,214,12,63.6,54.6
"2024-02-14T21:21:56.000Z",76,22.2,20.02,600,223,9,63.6,54.3
"2024-02-14T21:21:46.000Z",76,22.24,19.93,600,223,7,63.7,54.5
"2024-02-14T21:21:35.000Z",76,22.21,20.02,600,210,7,63.7,54.6
"2024-02-14T21:21:25.000Z",75,22.17,20,601,217,10,63.7,54.2
"2024-02-14T21:21:15.000Z",76,22.18,20.02,601,214,7,63.7,54.4
"2024-02-14T21:21:05.000Z",76,22.17,19.98,601,215,6,63.7,54.7
"2024-02-14T21:20:55.000Z",76,22.21,19.93,602,221,7,63.7,54.9
"2024-02-14T21:20:45.000Z",76,22.21,20.02,602,217,8,63.9,54.6
"2024-02-14T21:20:35.000Z",76,22.2,19.98,602,224,9,63.9,55
"2024-02-14T21:20:25.000Z",76,22.14,19.98,603,222,5,63.7,55.5
"2024-02-14T21:20:15.000Z",76,22.18,20.05,603,212,7,63.7,55.2
"2024-02-14T21:20:05.000Z",76,22.15,20.03,603,234,6,63.7,55.5
"2024-02-14T21:19:55.000Z",76,22.14,20.07,604,216,6,63.9,54.6
"2024-02-14T21:19:45.000Z",76,22.15,20.03,604,221,6,63.9,54.6
"2024-02-14T21:19:35.000Z",75,22.15,20.07,604,219,10,63.9,55.1
"2024-02-14T21:19:25.000Z",76,22.21,19.98,605,221,7,63.9,55.4
"2024-02-14T21:19:15.000Z",76,22.24,19.95,606,222,6,63.9,55.4
"2024-02-14T21:19:05.000Z",76,22.21,19.97,605,223,8,64,54.9
"2024-02-14T21:18:55.000Z",76,22.2,19.96,606,217,6,63.9,54.2
"2024-02-14T21:18:45.000Z",76,22.21,20,606,217,6,64,54.4
"2024-02-14T21:18:35.000Z",76,22.22,20.02,606,222,4,63.9,54.5
"2024-02-14T21:18:25.000Z",76,22.21,19.97,607,226,7,63.9,54.6
"2024-02-14T21:18:15.000Z",76,22.2,20.04,608,234,9,64,55
"2024-02-14T21:18:05.000Z",76,22.2,20.02,609,210,7,64,55.3
"2024-02-14T21:17:55.000Z",76,22.22,19.91,609,225,6,64,56.1
"2024-02-14T21:17:45.000Z",76,22.24,19.95,609,215,9,64,54.6
"2024-02-14T21:17:35.000Z",73,22.25,19.89,609,219,15,64,54.5
"2024-02-14T21:17:25.000Z",76,22.24,19.98,609,220,8,64,54.9
"2024-02-14T21:17:15.000Z",76,22.24,20,609,213,8,64,54.9
"2024-02-14T21:17:05.000Z",75,22.22,19.98,609,226,10,64.09,54.6
"2024-02-14T21:16:55.000Z",76,22.22,19.97,609,219,4,64,55.2
