timestamp,score,temp(°F),humid,co2,voc,pm25,noise,light
2024-03-04T05:00:00Z,93.8,65.5,40.8,480.9,387.8,2.1,48.5,20.3
2024-03-04T05:05:00Z,93.7,65.4,40.8,480.6,389.8,2.3,48.5,20.5
2024-03-04T05:10:00Z,93.4,65.4,40.8,477.7,391.8,2.1,48.5,20.4
2024-03-04T05:15:00Z,93.8,65.5,40.8,481.6,388.7,2.3,48.5,20.4
2024-03-04T05:20:00Z,93.5,65.4,40.8,480.2,393.1,2.1,48.5,20.5
2024-03-04T05:25:00Z,93.7,65.4,40.7,480,392.8,2.2,48.4,20.5
2024-03-04T05:30:00Z,93.6,65.4,40.8,481.3,393,2.4,48.5,20.5
2024-03-04T05:35:00Z,93.6,65.4,40.7,479.1,392.8,2.2,48.5,20.5
2024-03-04T05:40:00Z,93.6,65.4,40.7,477.9,390.3,2.1,48.5,20.5
2024-03-04T05:45:00Z,93.6,65.4,40.7,477.2,390.2,2.2,48.6,20.5
2024-03-04T05:50:00Z,93.3,65.3,40.8,474,390.8,2,48.6,20.6
2024-03-04T05:55:00Z,93.7,65.4,40.7,477.4,391.9,2.2,48.5,20.7
2024-03-04T06:00:00Z,93.6,65.4,40.7,481.9,390.6,2.1,48.7,21.2
2024-03-04T06:05:00Z,92.4,64.7,42.6,478.8,380,2.2,49.6,21.6
2024-03-04T06:10:00Z,92.7,64.7,42.7,479.1,378.6,2,49.6,23.1
2024-03-04T06:15:00Z,93,65.2,42.2,475.5,381.5,2,49.5,25.6
2024-03-04T06:20:00Z,93.6,65.4,41.9,477.8,383,1.8,49.5,28.7
2024-03-04T06:25:00Z,94,65.6,41.8,481.4,385.7,1.7,49.4,32.3
2024-03-04T06:30:00Z,94,65.8,41.7,482.5,381.8,1.4,49.4,37.2
2024-03-04T06:35:00Z,94.2,66.1,41.6,484,385.5,1.3,49.6,44.8
2024-03-04T06:40:00Z,95,66.2,41.6,484.5,385.6,1.3,49.5,51.4
2024-03-04T06:45:00Z,95,66.3,41.6,485.5,388.6,1.2,48.9,57.9
2024-03-04T06:50:00Z,95,66.2,41.9,492.5,384.2,1,48.4,66.3
2024-03-04T06:55:00Z,95,66.3,42,494,378.7,1.1,49,51.4
2024-03-04T07:00:00Z,95.4,66.6,41.9,492.5,372.4,1.2,50.7,37
2024-03-04T07:05:00Z,96,67,41.6,493.5,374.7,1,50.9,35.2
2024-03-04T07:10:00Z,96.1,67.2,41.5,494.5,375,1,50.8,35.3
2024-03-04T07:15:00Z,97,67.8,41,497.5,364.2,1.1,50.6,35.4
2024-03-04T07:20:00Z,96.4,67.3,41.1,498.1,361.8,1.1,50.7,36.5
2024-03-04T07:25:00Z,96,67,41.6,495.6,359.8,1.1,50.9,38.7
2024-03-04T07:30:00Z,96,66.9,41.8,497.7,356.7,1.1,50.9,41
2024-03-04T07:35:00Z,96,66.8,41.9,500.3,350.5,1.1,51,44.1
2024-03-04T07:40:00Z,95.8,66.7,42.1,495.7,347.7,1.1,51,49.7
2024-03-04T07:45:00Z,96.7,67.3,41.7,494.8,342.5,1.1,50.8,54.6
2024-03-04T07:50:00Z,97,67.5,41.4,493.3,344.7,1,50.7,59.4
2024-03-04T07:55:00Z,97.4,67.9,41,492.6,341.5,1,50.6,63.9
