timestamp(America/New_York),score,temp(°F),humid,co2,voc,pm25,noise,light
2024-02-01 15:15:00,90.4,72.3,28.4,400.0,20.0,5.3,56.5,353.2
2024-02-01 15:20:00,91.2,72.1,27.8,400.0,20.0,4.9,55.8,181.5
2024-02-01 15:25:00,91.0,72.0,27.4,400.0,20.0,4.7,58.8,239.2
2024-02-01 15:30:00,90.8,72.2,27.2,400.0,20.0,4.7,57.8,241.2
2024-02-01 15:35:00,90.7,72.4,27.2,400.0,20.0,4.7,56.3,242.8
2024-02-01 15:40:00,90.2,72.8,27.0,400.0,20.0,4.7,55.9,248.4
2024-02-01 15:45:00,90.5,72.2,27.2,400.0,20.0,4.9,55.6,218.8
2024-02-01 15:50:00,91.0,71.7,27.4,400.0,20.0,5.2,54.4,218.7
2024-02-01 15:55:00,91.0,71.7,27.4,400.0,20.0,5.3,54.5,218.5
2024-02-01 16:00:00,91.0,71.4,27.6,400.0,20.0,5.2,55.3,218.3
2024-02-01 16:05:00,91.0,71.4,27.6,400.0,20.1,5.0,56.1,218.2
2024-02-01 16:10:00,91.0,71.3,27.7,400.0,20.5,5.3,55.9,217.7
2024-02-01 16:15:00,91.0,71.3,27.6,400.0,21.8,5.3,55.5,217.1
2024-02-01 16:20:00,91.0,71.5,27.6,400.0,23.2,5.2,55.3,216.8
2024-02-01 16:25:00,90.4,72.6,27.7,454.5,38.8,4.5,61.9,154.5
2024-02-01 16:30:00,85.2,76.8,23.9,454.8,46.8,7.0,68.8,0.1
2024-02-01 16:35:00,86.7,76.7,24.4,402.3,53.7,5.1,56.2,75.7
2024-02-01 16:40:00,86.9,76.5,24.7,414.3,47.2,6.3,61.5,99.8
2024-02-01 16:45:00,86.5,74.4,24.4,400.0,37.8,5.1,62.1,10.0
2024-02-01 16:50:00,88.7,73.8,25.7,456.8,42.5,1.8,51.4,0.0
2024-02-01 16:55:00,88.9,73.2,26.0,458.9,43.7,3.7,56.5,6.5
2024-02-01 17:00:00,91.7,68.8,30.2,432.1,56.9,7.5,70.9,16.4
2024-02-01 17:05:00,92.2,71.2,29.6,471.4,73.8,3.1,56.0,20.5
2024-02-01 17:10:00,91.9,71.5,28.8,458.8,58.6,4.4,55.9,15.7
2024-02-01 17:15:00,90.4,69.1,29.7,473.6,51.6,9.9,68.0,0.4
2024-02-01 17:20:00,92.4,69.2,30.1,465.6,56.9,6.3,55.8,7.6
2024-02-01 17:25:00,91.7,70.2,29.0,461.6,48.0,5.6,59.4,26.0
2024-02-06 19:10:00,78.0,72.4,22.1,453.9,434.5,14.0,56.9,32.4
2024-02-06 19:15:00,72.3,70.9,17.5,488.3,20.3,15.8,53.3,62.6
2024-02-06 19:20:00,74.1,70.0,16.7,400.0,20.0,5.0,49.4,72.3
2024-02-06 19:25:00,75.0,68.6,17.1,400.0,20.0,2.9,49.6,71.6
2024-02-06 19:30:00,75.0,69.1,17.0,400.0,20.0,2.0,49.5,71.0
2024-02-06 19:35:00,74.7,69.5,16.9,400.0,20.0,1.9,49.4,71.3
2024-02-06 19:40:00,74.9,69.8,16.9,400.0,20.0,1.9,49.5,71.6
2024-02-06 19:45:00,74.7,69.9,16.9,400.0,20.0,1.6,49.5,71.3
2024-02-06 19:50:00,75.9,68.2,17.6,400.0,20.0,3.1,49.6,70.9
2024-02-06 19:55:00,75.9,68.3,17.8,400.0,20.0,2.8,49.6,70.7
2024-02-06 20:00:00,74.7,70.0,16.9,400.0,20.0,2.9,49.5,71.3
2024-02-06 20:05:00,74.5,70.4,16.8,400.0,20.0,2.7,49.5,71.6
2024-02-06 20:10:00,74.4,70.8,16.6,400.0,20.0,2.3,49.9,71.4
2024-02-06 20:15:00,74.7,70.0,17.0,400.0,20.0,5.2,50.7,71.6
2024-02-06 20:20:00,75.5,69.2,17.4,400.0,23.0,3.8,50.9,48.7
2024-02-06 20:25:00,74.9,70.3,16.9,400.0,29.2,3.2,50.7,45.5
2024-02-06 20:30:00,74.2,70.9,16.6,400.0,33.3,2.5,51.1,44.0
2024-02-06 20:35:00,74.0,71.5,16.4,400.0,37.8,2.3,51.3,37.4
2024-02-06 20:40:00,74.8,70.7,16.9,400.0,32.3,3.3,49.9,0.0
2024-02-06 20:45:00,76.4,69.1,17.9,400.0,25.3,2.9,51.7,0.0
2024-02-06 20:50:00,75.3,70.5,17.2,400.0,29.1,2.7,51.5,0.0
2024-02-06 20:55:00,74.6,71.2,16.8,400.0,32.5,2.1,51.6,0.0
2024-02-06 21:00:00,74.2,71.5,16.7,400.0,42.3,2.1,52.0,0.1
2024-02-06 21:05:00,75.1,71.1,17.0,400.0,44.1,2.2,51.2,0.0
2024-02-06 21:10:00,77.0,69.2,18.1,400.0,49.0,2.5,50.5,0.0
2024-02-06 21:15:00,76.4,69.9,17.7,400.0,48.5,2.3,51.5,0.0
2024-02-06 21:20:00,75.2,70.9,17.2,400.0,51.6,2.2,51.4,0.1
2024-02-06 21:25:00,75.0,71.4,17.0,400.0,59.2,2.3,52.1,0.0
2024-02-06 21:30:00,75.1,71.4,17.1,400.0,62.4,2.3,53.0,0.0
2024-02-06 21:35:00,75.6,70.7,17.3,400.0,59.0,3.0,51.1,1.2
2024-02-06 21:40:00,76.8,69.1,18.1,400.0,51.1,3.9,50.2,2.6
2024-02-06 21:45:00,75.7,70.5,17.4,400.0,55.9,3.5,50.5,3.2
2024-02-06 21:50:00,75.0,71.2,17.0,400.0,57.3,3.1,50.3,0.5
2024-02-06 21:55:00,74.9,71.7,16.9,400.0,62.2,2.9,52.2,0.1
2024-02-06 22:00:00,75.0,71.5,17.0,400.0,64.2,3.5,52.8,0.0
2024-02-06 22:05:00,76.8,69.2,18.1,400.0,59.2,4.8,52.9,0.0
2024-02-06 22:10:00,76.4,69.7,17.8,400.0,57.0,4.6,50.5,0.0
2024-02-06 22:15:00,76.0,70.2,17.6,400.0,62.1,4.1,50.7,0.0
2024-02-06 22:20:00,76.0,70.3,17.6,400.0,64.7,3.7,50.3,0.0
2024-02-06 22:25:00,76.2,70.2,17.7,400.0,66.9,3.6,50.1,0.0
2024-02-06 22:30:00,77.0,68.7,18.2,400.0,44.0,4.3,49.8,0.0
2024-02-06 22:35:00,76.8,68.6,18.1,400.0,33.5,4.5,49.4,0.0
2024-02-06 22:40:00,76.1,69.5,17.7,400.0,39.6,4.0,50.3,0.0
2024-02-06 22:45:00,76.1,69.5,17.8,400.0,43.0,3.7,60.1,2.7
2024-02-06 22:50:00,76.2,69.6,17.8,400.0,46.2,3.2,57.8,2.9
2024-02-06 22:55:00,76.6,68.9,17.9,400.0,37.6,4.3,59.8,0.1
2024-02-06 23:00:00,76.9,68.3,18.1,400.0,32.0,4.2,61.7,0.0
2024-02-06 23:05:00,76.0,69.2,17.7,400.0,39.7,4.0,61.5,0.0
2024-02-06 23:10:00,76.8,69.0,17.9,400.0,45.6,3.5,57.1,0.2
2024-02-06 23:15:00,76.5,69.2,17.9,400.0,51.6,3.6,56.1,0.2
2024-02-06 23:20:00,76.9,68.6,18.1,400.0,48.1,4.2,55.0,0.1
2024-02-06 23:25:00,76.9,67.5,18.5,400.0,39.5,5.4,55.0,0.0
2024-02-06 23:30:00,76.8,68.7,18.0,400.0,44.1,4.7,53.6,0.0
2024-02-06 23:35:00,77.0,68.6,18.1,400.0,49.9,4.2,54.0,0.0
2024-02-06 23:40:00,77.0,68.6,18.1,400.0,54.8,4.1,53.6,0.0
2024-02-06 23:45:00,77.0,68.8,18.1,400.0,57.7,3.5,53.9,0.0
2024-02-06 23:50:00,77.0,68.5,18.1,400.0,55.1,4.1,54.4,0.0
2024-02-06 23:55:00,77.0,67.7,18.3,400.0,46.0,4.5,52.6,0.0
2024-02-07 00:00:00,76.5,68.5,17.9,400.0,50.6,4.1,54.2,0.1
2024-02-07 00:05:00,77.0,68.5,18.0,400.0,55.1,3.6,52.8,0.1
2024-02-07 00:10:00,77.0,68.6,18.0,400.0,57.7,3.4,53.0,0.0
2024-02-07 00:15:00,76.7,68.8,18.0,400.0,60.6,3.1,52.6,0.9
2024-02-07 00:20:00,76.2,68.2,17.9,400.0,50.8,3.7,52.8,1.2
2024-02-07 00:25:00,76.4,68.0,18.0,400.0,47.3,3.5,54.2,0.8
2024-02-07 00:30:00,76.3,68.6,17.8,400.0,55.0,3.5,53.4,0.5
2024-02-07 00:35:00,77.0,68.4,18.0,400.0,60.1,3.2,54.5,2.3
2024-02-07 00:40:00,77.0,68.6,18.0,400.0,65.2,3.1,53.3,2.0
2024-02-07 00:45:00,76.6,68.5,17.9,400.0,62.4,3.9,55.1,5.2
2024-02-07 00:50:00,77.0,67.9,18.1,400.0,57.3,4.4,56.2,3.8
2024-02-07 00:55:00,76.2,68.6,17.8,400.0,67.0,4.0,56.5,3.4
2024-02-07 01:00:00,76.8,68.6,17.9,400.0,76.9,3.5,56.0,3.9
2024-02-07 01:05:00,76.6,68.7,17.9,400.0,77.7,3.0,55.8,2.0
2024-02-07 01:10:00,76.9,68.7,18.0,400.0,77.1,3.3,55.9,4.3
2024-02-07 01:15:00,77.0,67.9,18.2,400.0,63.0,3.8,55.8,3.1
2024-02-07 01:20:00,76.6,68.4,18.0,400.0,63.1,3.7,55.7,2.2
2024-02-07 01:25:00,76.5,68.6,18.0,400.0,80.9,4.8,50.7,63.1
2024-02-07 01:30:00,77.0,68.6,18.1,400.0,98.3,3.6,49.0,76.8
2024-02-07 01:35:00,76.8,68.9,18.0,400.0,98.1,3.3,49.0,75.7
2024-02-07 01:40:00,77.0,68.5,18.1,400.0,83.0,3.2,49.0,74.2
2024-02-07 01:45:00,77.0,67.3,18.7,400.0,60.4,3.4,49.0,73.1
2024-02-07 01:50:00,77.0,68.2,18.3,400.0,67.2,3.1,49.0,72.7
2024-02-07 01:55:00,77.0,68.4,18.2,400.0,68.5,2.6,49.0,72.2
2024-02-07 02:00:00,77.0,68.8,18.1,400.0,74.9,2.6,49.1,72.0
2024-02-07 02:05:00,77.0,68.9,18.1,400.0,75.8,2.3,49.0,71.6
2024-02-07 02:10:00,77.4,68.1,18.6,400.0,70.3,2.9,49.1,70.9
2024-02-07 02:15:00,77.2,67.2,19.1,400.0,63.1,2.6,49.1,70.4
2024-02-07 02:20:00,77.4,68.4,18.4,400.0,69.5,2.3,49.1,70.7
2024-02-07 02:25:00,77.7,68.4,18.5,400.0,70.5,2.1,49.1,70.8
2024-02-07 02:30:00,77.1,68.8,18.4,400.0,73.5,2.1,49.1,70.6
2024-02-07 02:35:00,77.8,68.5,18.5,400.0,74.9,2.0,49.0,70.4
2024-02-07 02:40:00,78.0,67.5,19.1,400.0,63.2,2.4,49.1,69.8
2024-02-07 02:45:00,78.0,67.8,19.0,400.0,66.6,2.0,49.1,70.1
2024-02-07 02:50:00,78.0,68.3,18.7,400.0,71.4,2.0,49.0,70.2
2024-02-07 02:55:00,77.6,68.8,18.5,400.0,72.9,1.9,49.1,70.2
2024-02-07 03:00:00,77.6,68.9,18.5,400.0,75.9,1.9,49.1,70.2
2024-02-07 03:05:00,78.0,68.1,18.8,400.0,71.4,2.0,49.0,69.8
2024-02-07 03:10:00,78.0,67.1,19.4,400.0,65.6,2.0,49.2,69.6
2024-02-07 03:15:00,78.0,68.3,18.8,400.0,71.8,2.0,49.0,69.9
2024-02-07 03:20:00,78.0,68.3,18.8,400.0,70.8,1.7,49.0,70.0
2024-02-07 03:25:00,78.0,68.5,18.8,400.0,76.9,1.8,49.0,70.2
2024-02-07 03:30:00,78.0,68.6,18.8,400.0,79.1,1.5,49.0,70.2
2024-02-07 03:35:00,78.0,68.0,19.0,400.0,73.4,1.8,49.0,69.6
2024-02-07 03:40:00,78.0,67.3,19.3,400.0,73.7,1.9,49.2,69.4
2024-02-07 03:45:00,78.0,68.1,18.9,400.0,78.5,1.9,49.0,69.7
2024-02-07 03:50:00,78.0,68.2,18.9,400.0,80.2,1.7,49.0,70.0
2024-02-07 03:55:00,78.0,68.4,18.8,400.0,78.5,1.6,49.0,70.1
2024-02-07 04:00:00,78.0,68.3,18.9,400.0,80.3,1.3,49.0,70.4
2024-02-07 04:05:00,77.8,67.9,18.9,400.0,73.5,1.7,49.1,70.3
2024-02-07 04:10:00,77.1,66.9,19.2,400.0,63.6,1.7,49.2,69.9
2024-02-07 04:15:00,78.0,68.0,18.7,400.0,73.2,1.6,49.2,70.4
2024-02-07 04:20:00,78.0,68.1,18.7,400.0,72.4,1.4,49.1,70.5
2024-02-07 04:25:00,78.0,68.4,18.6,400.0,76.3,1.2,49.1,70.7
2024-02-07 04:30:00,78.0,68.5,18.6,400.0,80.1,1.2,49.1,70.6
2024-02-07 04:35:00,77.2,68.0,18.5,400.0,73.9,1.5,49.2,70.2
2024-02-07 04:40:00,77.0,67.0,18.8,400.0,67.6,1.8,49.2,70.1
2024-02-07 04:45:00,77.1,68.2,18.4,400.0,73.1,1.6,49.2,70.2
2024-02-07 04:50:00,77.1,68.2,18.4,400.0,75.8,1.3,49.2,70.6
2024-02-07 04:55:00,77.0,68.5,18.3,400.0,80.0,1.1,49.2,70.7
2024-02-07 05:00:00,77.0,68.5,18.3,400.0,80.0,1.1,49.2,70.5
2024-02-07 05:05:00,76.5,67.6,18.3,400.0,67.0,1.6,49.3,70.1
2024-02-07 05:10:00,76.4,67.2,18.5,400.0,69.8,1.4,49.3,70.0
2024-02-07 05:15:00,77.0,67.9,18.3,400.0,74.7,1.2,49.2,70.2
2024-02-07 05:20:00,77.0,68.1,18.2,400.0,75.2,1.2,49.2,70.4
2024-02-07 05:25:00,77.0,68.5,18.1,400.0,81.8,1.1,49.3,70.2
2024-02-07 05:30:00,77.0,68.6,18.1,400.0,86.2,1.1,49.3,69.8
2024-02-07 05:35:00,77.0,68.4,18.1,400.0,89.6,1.2,49.3,69.6
2024-02-07 05:40:00,76.2,67.3,18.2,400.0,75.1,1.5,49.5,69.2
2024-02-07 05:45:00,76.2,67.4,18.3,400.0,76.9,1.5,49.4,69.1
2024-02-07 05:50:00,76.9,67.9,18.1,400.0,84.7,1.4,49.4,69.2
2024-02-07 05:55:00,76.9,68.3,18.0,400.0,85.5,1.2,49.4,69.5
2024-02-07 06:00:00,76.7,68.5,18.0,400.0,90.2,1.2,49.3,69.7
2024-02-07 06:05:00,76.8,68.5,18.0,400.0,89.6,1.1,49.4,69.8
2024-02-07 06:10:00,76.5,68.0,18.0,400.0,80.8,1.2,49.5,69.5
2024-02-07 06:15:00,76.0,67.0,18.2,400.0,78.2,1.4,49.6,69.3
2024-02-07 06:20:00,75.4,68.0,18.0,400.0,87.1,7.9,50.6,69.0
2024-02-07 06:25:00,70.6,68.2,18.7,400.0,99.3,31.8,51.6,54.3
2024-02-07 06:30:00,76.9,68.0,18.4,400.0,92.6,5.1,49.3,0.0
2024-02-07 06:35:00,77.0,67.9,18.4,400.0,92.5,3.0,49.2,0.0
2024-02-07 06:40:00,75.9,67.2,18.1,400.0,80.8,1.7,49.4,0.0
2024-02-07 06:45:00,75.0,66.2,18.6,400.0,81.5,1.6,49.5,0.0
2024-02-07 06:50:00,75.6,66.4,18.6,400.0,86.8,1.4,49.4,0.0
2024-02-07 06:55:00,76.0,66.8,18.5,400.0,87.4,1.2,49.1,0.0
2024-02-07 07:00:00,76.0,67.2,18.4,400.0,98.0,1.2,49.5,1.7
2024-02-07 07:05:00,76.4,67.4,18.4,400.0,95.9,1.3,49.7,6.4
2024-02-07 07:10:00,76.9,67.5,18.4,400.0,101.5,1.1,49.7,11.8
2024-02-07 07:15:00,77.0,67.6,18.4,400.0,104.4,1.1,49.7,17.2
2024-02-07 07:20:00,76.0,67.2,18.3,400.0,92.1,1.5,50.0,22.8
2024-02-07 07:25:00,75.7,66.2,18.8,400.0,95.2,1.7,49.9,28.4
2024-02-07 07:30:00,76.0,66.6,18.7,400.0,100.1,1.6,50.2,34.9
2024-02-07 07:35:00,76.0,67.0,18.6,400.0,103.1,1.6,49.9,39.9
2024-02-07 07:40:00,76.9,67.3,18.6,400.0,109.5,1.3,49.7,43.6
2024-02-07 07:45:00,77.0,67.5,18.6,400.0,111.7,1.3,49.8,47.1
2024-02-07 07:50:00,77.0,67.5,18.6,400.0,111.5,1.3,49.8,50.7
2024-02-07 07:55:00,76.5,67.3,18.5,400.0,103.7,1.8,49.9,54.6
2024-02-07 08:00:00,76.0,66.5,18.7,400.0,96.3,1.8,49.9,58.5
2024-02-07 08:05:00,75.9,66.2,18.9,400.0,94.4,1.8,50.1,62.5
2024-02-07 08:10:00,76.0,66.7,18.8,400.0,102.0,1.5,49.8,66.3
2024-02-07 08:15:00,76.3,67.1,18.7,400.0,107.4,1.5,49.7,69.8
2024-02-07 08:20:00,76.9,67.3,18.6,400.0,107.0,1.5,49.5,73.3
2024-02-07 08:25:00,77.0,67.5,18.6,400.0,109.3,1.4,49.5,76.3
2024-02-07 08:30:00,76.7,67.3,18.6,400.0,103.5,1.4,49.5,79.5
2024-02-07 08:35:00,76.0,66.8,18.6,400.0,91.7,1.8,49.7,82.6
2024-02-07 08:40:00,76.0,66.2,18.9,400.0,93.3,1.8,50.0,85.2
2024-02-07 08:45:00,76.0,66.5,18.9,400.0,99.1,1.8,49.9,87.3
2024-02-07 08:50:00,75.9,67.1,18.7,400.0,103.6,4.4,52.8,85.8
