timestamp(America/New_York),score,temp(°F),humid,co2,voc,pm25,noise,light
2024-02-01 15:05:00,90.9,70.6,28.4,491.2,20.0,3.3,55.2,558.4
2024-02-01 15:10:00,91.5,71.0,28.9,493.4,20.0,3.4,57.7,447.2
2024-02-01 15:15:00,87.0,75.5,24.7,400.0,22.0,3.0,54.6,208.8
2024-02-01 15:20:00,88.1,74.8,25.4,497.2,20.0,3.3,57.3,199.5
2024-02-01 15:25:00,88.4,74.1,25.5,504.5,20.0,3.1,60.1,233.7
2024-02-01 15:30:00,89.0,73.9,25.8,495.5,20.0,3.2,58.5,234.6
2024-02-01 15:35:00,89.6,73.7,26.1,493.7,20.0,3.2,56.6,236.7
2024-02-01 15:40:00,89.8,73.5,26.4,497.7,20.0,3.2,56.2,238.1
2024-02-01 15:45:00,90.0,73.1,26.6,484.2,20.0,3.3,56.0,243.6
2024-02-01 15:50:00,90.0,73.1,26.5,471.4,20.0,3.2,54.9,244.8
2024-02-01 15:55:00,90.0,73.2,26.4,463.1,20.0,3.3,54.9,244.5
2024-02-01 16:00:00,90.0,73.2,26.3,456.4,20.0,3.2,55.6,244.4
2024-02-01 16:05:00,90.0,73.2,26.3,453.1,20.0,3.3,57.4,244.2
2024-02-01 16:10:00,90.0,73.1,26.4,447.8,20.1,3.3,56.8,243.7
2024-02-01 16:15:00,90.0,73.0,26.5,444.7,20.4,3.2,56.1,243.0
2024-02-01 16:20:00,90.0,72.8,26.6,441.3,20.6,3.3,55.5,242.8
2024-02-01 16:25:00,89.2,72.8,27.4,531.7,32.7,2.9,62.2,143.2
2024-02-01 16:30:00,88.8,71.7,27.4,573.6,65.9,4.6,69.5,0.0
2024-02-01 16:35:00,89.5,72.9,27.4,546.1,95.4,2.5,56.7,0.0
2024-02-01 16:40:00,88.2,74.6,26.2,552.3,101.5,2.9,62.3,0.1
2024-02-01 16:45:00,89.2,72.0,26.2,501.3,48.9,2.9,62.5,0.0
2024-02-01 16:50:00,88.0,71.5,27.5,629.6,72.8,1.3,52.5,0.0
2024-02-01 16:55:00,88.0,71.8,27.1,598.0,76.9,1.4,57.3,0.1
2024-02-01 17:00:00,89.7,70.8,28.4,562.5,104.1,2.9,70.6,0.9
2024-02-01 17:05:00,89.1,71.3,29.3,620.2,69.4,3.2,58.1,75.8
2024-02-01 17:10:00,89.7,70.9,29.3,594.4,20.0,3.0,55.5,76.9
2024-02-01 17:15:00,89.0,70.3,29.0,630.7,20.0,4.5,71.1,0.3
2024-02-01 17:20:00,90.0,69.7,29.6,596.1,20.0,3.7,57.0,8.9
2024-02-01 17:25:00,89.4,70.2,29.2,590.4,20.0,4.8,59.5,31.9
2024-02-06 19:20:00,85.0,70.3,33.3,868.8,601.2,2.8,62.9,47.0
2024-02-06 19:25:00,77.2,72.1,23.9,961.8,38.2,1.7,54.8,91.4
2024-02-06 19:30:00,74.2,71.3,17.7,580.5,20.0,2.1,51.6,111.0
2024-02-06 19:35:00,75.2,71.3,17.6,530.7,20.0,1.1,50.2,112.2
2024-02-06 19:40:00,76.0,71.0,17.8,513.3,20.0,1.1,49.5,111.9
2024-02-06 19:45:00,76.4,70.6,18.1,511.1,20.0,1.0,49.0,111.6
2024-02-06 19:50:00,77.0,70.3,18.3,510.2,20.0,1.0,48.7,111.5
2024-02-06 19:55:00,77.0,70.1,18.4,510.0,20.0,1.1,50.4,111.4
2024-02-06 20:00:00,77.0,70.2,18.5,510.9,20.0,1.1,52.9,111.2
2024-02-06 20:05:00,76.5,71.0,18.2,518.7,20.0,1.0,52.6,116.1
2024-02-06 20:10:00,76.0,71.6,18.0,524.4,20.0,1.0,52.5,39.6
2024-02-06 20:15:00,76.0,71.8,18.0,533.7,20.0,1.0,53.6,27.3
2024-02-06 20:20:00,76.0,71.3,18.3,542.3,20.1,1.1,54.8,37.4
2024-02-06 20:25:00,76.6,70.9,18.5,542.0,21.1,1.1,51.0,37.3
2024-02-06 20:30:00,77.2,70.3,18.9,544.5,27.8,1.0,52.4,37.5
2024-02-06 20:35:00,77.6,69.8,19.2,545.4,32.3,1.3,56.6,21.7
2024-02-06 20:40:00,77.1,70.0,19.3,556.9,43.7,1.0,56.0,8.8
2024-02-06 20:45:00,77.1,69.9,19.4,562.2,48.6,1.0,58.3,3.9
2024-02-06 20:50:00,77.8,69.7,19.6,565.5,53.3,1.0,55.5,7.6
2024-02-06 20:55:00,77.9,69.7,19.6,567.7,59.1,1.0,52.6,4.5
2024-02-06 21:00:00,77.9,69.6,19.7,571.3,70.3,1.0,54.0,8.7
2024-02-06 21:05:00,77.7,69.9,19.6,571.0,84.9,1.0,53.0,8.1
2024-02-06 21:10:00,77.2,70.0,19.5,566.2,84.8,1.0,55.0,8.0
2024-02-06 21:15:00,77.0,70.6,19.1,556.6,83.1,1.0,52.6,7.9
2024-02-06 21:20:00,76.9,71.3,18.7,544.3,83.3,1.0,53.2,7.9
2024-02-06 21:25:00,76.2,72.0,18.3,535.4,78.6,1.0,53.7,7.9
2024-02-06 21:30:00,76.0,72.5,18.1,522.7,73.4,1.0,52.8,7.8
