timestamp(America/New_York),score,temp(°F),humid,co2,voc,pm25,noise,light
2024-02-01 15:05:00,91.9,68.6,29.8,463.4,20.0,2.5,54.9,463.2
2024-02-01 15:10:00,94.2,69.4,33.5,471.7,20.0,2.9,58.6,431.9
2024-02-01 15:20:00,87.9,74.1,25.3,512.5,20.0,2.9,55.4,727.9
2024-02-01 15:25:00,88.7,73.6,25.6,482.5,20.0,2.6,57.2,764.7
2024-02-01 15:30:00,89.2,73.2,26.1,472.9,20.0,2.6,56.5,761.5
2024-02-01 15:35:00,90.0,73.0,26.3,475.2,20.0,2.7,55.4,764.8
2024-02-01 15:40:00,90.0,72.6,26.6,472.9,20.0,2.6,55.3,766.5
2024-02-01 15:45:00,90.1,72.4,27.0,471.0,20.0,3.0,55.7,769.1
2024-02-01 15:50:00,90.0,72.1,27.0,460.1,20.0,2.9,54.9,769.2
2024-02-01 15:55:00,90.0,72.2,27.0,452.4,20.0,2.8,54.9,768.9
2024-02-01 16:00:00,90.0,72.2,26.9,450.8,20.0,2.7,55.7,768.4
2024-02-01 16:05:00,90.0,72.3,26.8,441.9,20.0,2.6,56.1,768.0
2024-02-01 16:10:00,90.0,72.3,26.8,434.2,20.0,2.9,56.0,767.9
2024-02-01 16:15:00,90.0,72.7,26.5,433.1,20.0,2.7,55.8,766.9
2024-02-01 16:20:00,90.0,72.7,26.5,433.9,20.0,2.9,55.7,766.1
2024-02-01 16:25:00,89.9,73.0,26.9,468.9,21.1,2.6,60.9,531.2
2024-02-01 16:30:00,85.5,75.2,24.9,581.1,45.0,4.0,68.2,52.5
2024-02-01 16:35:00,87.0,75.6,25.1,527.6,58.8,2.4,55.4,27.4
2024-02-01 16:40:00,84.4,77.4,24.1,547.8,55.5,3.1,60.7,54.9
2024-02-01 16:45:00,83.8,76.5,22.6,478.9,31.4,3.1,64.0,6.5
2024-02-01 16:50:00,87.3,72.6,26.4,606.9,38.0,1.4,53.3,2.2
2024-02-01 16:55:00,87.8,72.0,26.6,589.4,38.8,2.1,58.0,10.5
2024-02-01 17:00:00,87.2,74.2,25.9,573.5,72.5,2.7,71.7,4.4
2024-02-01 17:05:00,88.9,71.5,28.7,620.9,57.1,3.2,57.5,9.1
2024-02-01 17:10:00,90.7,69.2,30.7,594.9,51.3,2.9,56.0,11.6
2024-02-01 17:15:00,87.9,72.2,26.9,621.9,22.8,4.5,68.3,15.4
2024-02-01 17:20:00,88.2,71.5,31.6,750.0,20.0,7.0,55.2,23.9
2024-02-01 17:25:00,86.5,71.1,29.7,873.9,20.0,4.3,52.9,26.3
2024-02-01 17:30:00,88.4,70.6,27.9,607.0,20.0,3.8,51.3,26.0
2024-02-01 17:35:00,89.6,70.2,28.2,565.1,20.0,3.7,51.2,25.9
2024-02-01 17:40:00,90.0,70.2,28.1,548.1,20.0,3.7,51.2,25.9
2024-02-01 17:45:00,90.0,70.5,27.9,538.0,20.0,3.5,51.3,25.9
2024-02-01 17:50:00,90.0,70.6,27.8,527.7,20.0,3.6,51.4,25.8
2024-02-01 17:55:00,90.0,70.8,27.6,520.8,20.0,3.5,51.3,25.9
2024-02-01 18:00:00,90.0,71.0,27.5,522.6,20.0,3.7,51.4,25.9
2024-02-01 18:05:00,90.0,71.1,27.3,517.4,20.0,4.3,51.3,25.9
2024-02-01 18:10:00,90.0,71.0,27.3,508.0,20.0,4.3,51.2,25.9
2024-02-01 18:15:00,90.5,70.7,27.4,504.9,20.0,4.6,51.2,25.9
2024-02-01 18:20:00,91.0,70.2,27.8,499.4,20.0,4.6,51.1,25.9
2024-02-01 18:25:00,91.0,69.5,28.5,505.6,20.0,4.1,51.8,26.1
2024-02-01 18:30:00,91.0,69.5,28.6,509.3,20.8,4.0,51.4,26.2
2024-02-01 18:35:00,91.0,69.7,28.3,506.8,20.9,3.8,51.1,26.2
2024-02-01 18:40:00,91.0,69.8,28.2,498.5,21.1,3.6,51.0,26.1
