timestamp,score,temp(°F),humid,co2,voc,pm25,noise,light
2024-03-04T05:00:00Z,97.2,67.8,40.5,483.8,170.6,12.4,53.3,26.8
2024-03-04T05:05:00Z,97,68,40.3,477.3,167.1,15,51.9,26.8
2024-03-04T05:10:00Z,96.3,68,40.2,477.2,165.8,17.1,51.6,26.8
2024-03-04T05:15:00Z,96.5,68,40.1,477.2,165.2,17,51.7,26.8
2024-03-04T05:20:00Z,96.9,68.1,40,482,162.5,15.8,51.7,26.8
2024-03-04T05:25:00Z,97,68.2,40,480.6,162.3,15.2,51.7,26.8
2024-03-04T05:30:00Z,97,68.3,39.9,481.2,159.8,15.1,51.7,26.8
2024-03-04T05:35:00Z,97,68.2,40,478.2,158.7,15.5,51.6,26.8
2024-03-04T05:40:00Z,97,68.3,40,476.1,157.1,15.7,51.6,26.8
2024-03-04T05:45:00Z,97,68.4,40,477.6,157,15.2,51.5,26.8
2024-03-04T05:50:00Z,97,68.3,40,477.3,156.5,15.1,51.6,26.8
2024-03-04T05:55:00Z,97,68.4,40,473.9,157.9,15.2,51.6,26.8
2024-03-04T06:00:00Z,96.8,68.6,39.9,476.8,157.2,15.2,51.9,26.8
2024-03-04T06:05:00Z,96,68.9,39.5,476,157.9,18,52.2,26.7
2024-03-04T06:10:00Z,95.5,68.9,39.6,471,152.9,21.5,52.2,26.8
2024-03-04T06:15:00Z,95.3,68.8,39.7,473.6,147.7,22.9,52.1,26.8
2024-03-04T06:20:00Z,96,68.7,39.9,471.8,146.9,20.1,52.2,26.8
2024-03-04T06:25:00Z,94.9,68.9,39.6,476.8,142,25.5,52.2,26.9
2024-03-04T06:30:00Z,94.9,68.6,39.8,479.9,140.9,26.9,52.3,27
2024-03-04T06:35:00Z,94.4,68.8,39.5,481.6,139,28.1,52.3,27.2
2024-03-04T06:40:00Z,94.8,69.2,39,480.9,137,24.1,52.4,27.5
2024-03-04T06:45:00Z,96,69.5,38.6,481.2,128.5,15.9,52.5,27.8
2024-03-04T06:50:00Z,95.9,69.4,38.7,486.9,119.3,17.8,52.4,27.7
2024-03-04T06:55:00Z,96.8,69.3,38.9,487.8,117.8,14.9,52.3,27.2
2024-03-04T07:00:00Z,95.9,69.3,39.1,488.3,112,19.6,52.4,27
2024-03-04T07:05:00Z,95.8,69.3,39.1,487.9,108.8,20.8,52.4,27
2024-03-04T07:10:00Z,95.8,69.2,39.3,483.3,111,21.5,52.3,26.9
2024-03-04T07:15:00Z,95.5,69.1,39.4,485.1,108.1,22.8,52.4,26.9
2024-03-04T07:20:00Z,95.4,69.1,39.4,488,106.3,23.6,52.4,27
2024-03-04T07:25:00Z,95.1,69.1,39.5,485.4,108.7,26.4,52.5,27
2024-03-04T07:30:00Z,94.8,69.1,39.5,486.7,107.6,28.2,52.4,27.1
2024-03-04T07:35:00Z,95,69,39.6,484.3,98.2,27.9,52.4,27.2
2024-03-04T07:40:00Z,95,69.1,39.6,476.2,96.3,27.9,52.4,27.3
2024-03-04T07:45:00Z,94.9,69.2,39.5,476.5,94.5,28.3,52.3,27.4
2024-03-04T07:50:00Z,95.5,69.2,39.4,472.8,90.8,23.2,52.4,27.4
2024-03-04T07:55:00Z,95.9,69.4,39.2,464.3,94.9,20.5,52.5,27.4
2024-03-04T08:00:00Z,96.8,69.4,39.1,461.5,96.9,15.6,52.4,27.5
2024-03-04T08:05:00Z,97.3,69.5,39,460.7,96.4,13,52.4,27.5
2024-03-04T08:10:00Z,97.6,69.6,38.9,454,96,11.8,52.5,27.5
2024-03-04T08:15:00Z,98.5,69.7,38.7,449.2,94.7,8.4,52.3,27.5
2024-03-04T08:20:00Z,97.6,69.8,38.3,447.2,95.7,10.4,52.4,27.6
