timestamp(America/New_York),score,temp(°F),humid,co2,voc,pm25,noise,light
2024-02-01 16:05:00,85.4,69.8,31.4,859.3,69.4,7.1,65.9,520.4
2024-02-01 16:10:00,88.1,69.5,31.9,804.3,34.2,4.5,61.8,665.9
2024-02-01 16:15:00,86.1,74.7,32.4,1072.7,85.3,5.8,64.9,390.2
2024-02-01 16:20:00,83.8,77.1,33.7,1195.3,75.0,4.9,70.5,273.4
2024-02-01 16:25:00,90.4,73.7,33.5,780.4,20.3,1.7,73.6,7.9
2024-02-01 16:30:00,92.1,76.8,32.1,588.0,20.0,3.3,68.0,10.3
2024-02-01 16:35:00,89.8,78.4,29.9,525.8,20.0,2.3,57.6,0.3
2024-02-01 16:40:00,86.4,79.5,27.9,548.9,25.2,2.3,63.0,1.4
2024-02-01 16:45:00,85.8,79.6,26.2,494.6,20.0,2.5,65.2,1.9
2024-02-01 16:50:00,81.6,79.0,24.7,637.1,22.9,1.3,60.3,0.0
2024-02-01 16:55:00,80.9,78.6,23.7,605.3,34.6,2.0,63.1,0.0
2024-02-01 17:00:00,81.1,78.3,23.2,577.1,71.8,3.0,70.3,0.4
2024-02-01 17:05:00,81.6,76.6,23.2,627.8,84.2,3.0,58.0,0.0
2024-02-01 17:10:00,83.1,75.2,23.7,600.9,23.1,3.4,56.9,0.0
2024-02-01 17:15:00,83.6,75.0,24.2,654.5,30.0,5.0,70.3,0.0
2024-02-01 17:20:00,84.3,75.0,24.6,608.1,20.0,3.8,57.2,0.1
2024-02-01 17:25:00,85.0,75.6,24.8,612.4,20.7,3.5,61.3,0.3
2024-02-07 14:35:00,86.6,70.5,31.3,552.8,1117.2,0.6,55.6,11.7
2024-02-07 14:40:00,92.8,70.0,30.8,470.1,83.8,0.7,53.0,13.8
2024-02-07 14:45:00,92.2,69.3,29.5,431.7,20.0,0.8,50.9,14.7
2024-02-07 14:50:00,91.1,68.9,28.1,417.7,20.0,0.7,49.7,14.5
2024-02-07 14:55:00,90.2,68.5,26.9,411.2,20.0,0.5,50.2,13.8
2024-02-07 15:00:00,89.3,68.2,26.0,415.9,20.0,0.5,50.7,13.4
2024-02-07 15:05:00,88.2,68.3,25.3,418.2,20.0,0.7,51.1,14.0
2024-02-07 15:10:00,86.8,68.5,24.4,424.1,20.0,0.6,50.5,14.5
2024-02-07 15:15:00,85.5,68.3,23.6,428.1,20.0,0.7,51.3,14.7
2024-02-07 15:20:00,84.5,68.6,23.1,430.1,20.0,0.7,51.9,14.1
2024-02-07 15:25:00,84.0,69.0,22.6,433.8,20.0,0.7,51.4,14.3
2024-02-07 15:30:00,83.1,69.3,22.2,426.9,20.3,0.9,51.8,14.4
2024-02-07 15:35:00,83.0,69.8,21.9,424.4,20.9,0.8,51.7,14.3
2024-02-07 15:40:00,82.2,70.2,21.6,423.6,21.9,0.6,51.7,14.2
2024-02-07 15:45:00,82.0,70.4,21.3,421.3,22.2,0.7,51.7,13.5
2024-02-07 15:50:00,81.8,70.5,21.1,418.3,23.3,0.9,51.7,12.8
2024-02-07 15:55:00,81.0,70.8,20.9,422.7,27.9,0.8,50.8,12.3
2024-02-07 16:00:00,81.0,71.1,20.7,425.2,28.2,0.9,51.3,12.3
2024-02-07 16:05:00,81.0,71.0,20.5,421.1,27.0,0.7,50.6,11.9
2024-02-07 16:10:00,80.1,70.4,20.3,414.5,32.2,0.6,51.8,11.5
2024-02-07 16:15:00,80.0,69.8,20.2,416.2,35.0,0.7,52.0,11.4
2024-02-07 16:20:00,80.0,69.4,20.1,414.6,39.0,0.6,52.6,11.3
2024-02-07 16:25:00,80.0,69.3,20.2,418.7,49.8,1.1,55.2,11.1
2024-02-07 16:30:00,80.3,69.3,20.3,455.5,74.0,1.6,57.3,10.2
2024-02-07 16:35:00,81.0,69.4,20.6,502.8,88.6,1.0,59.6,9.6
2024-02-07 16:40:00,80.1,69.3,20.9,544.6,106.2,1.1,57.2,8.8
2024-02-07 16:45:00,80.0,69.3,21.2,561.3,107.1,0.9,55.7,9.7
2024-02-07 16:50:00,80.8,69.4,21.4,554.9,102.6,0.8,55.5,8.8
2024-02-07 16:55:00,81.0,69.3,21.6,544.5,136.0,0.7,55.1,9.1
2024-02-07 17:00:00,81.4,69.1,21.7,538.9,111.0,1.1,59.9,8.5
2024-02-07 17:05:00,82.3,68.8,21.8,511.7,75.2,0.9,59.8,9.4
2024-02-07 17:10:00,82.9,68.3,21.8,499.0,60.8,0.7,60.7,9.2
2024-02-07 17:15:00,83.0,68.5,21.8,488.3,61.0,0.8,61.3,9.1
2024-02-07 17:20:00,83.0,68.0,21.8,487.3,61.5,0.6,59.1,9.5
2024-02-07 17:25:00,83.0,68.1,21.9,485.1,63.2,0.9,61.0,8.8
2024-02-07 17:30:00,83.0,68.1,21.9,480.6,59.1,0.9,59.7,7.5
2024-02-07 17:35:00,83.0,68.1,21.9,476.9,59.0,0.8,59.2,7.5
2024-02-07 17:40:00,83.0,68.1,21.9,469.0,58.0,0.8,59.2,7.6
2024-02-07 17:45:00,83.0,68.1,21.9,472.3,59.8,1.0,58.3,8.8
2024-02-07 17:50:00,83.0,68.3,21.9,485.2,63.5,1.0,56.3,8.9
2024-02-07 17:55:00,83.0,68.3,22.0,495.2,64.2,1.1,57.6,9.1
2024-02-07 18:00:00,82.7,68.0,22.0,513.4,84.1,1.6,67.4,7.3
2024-02-07 18:05:00,81.5,68.2,22.2,563.4,117.3,3.2,69.1,6.3
2024-02-07 18:10:00,81.0,68.1,22.5,614.4,117.5,3.1,65.7,8.0
2024-02-07 18:15:00,80.0,68.0,22.8,625.4,236.6,1.7,61.0,8.4
2024-02-07 18:20:00,80.7,68.0,23.1,642.1,180.5,2.1,57.6,0.0
2024-02-07 18:25:00,81.5,68.0,23.3,639.3,138.2,1.1,54.3,0.0
2024-02-07 18:30:00,82.0,67.8,23.5,634.3,125.9,1.1,55.9,0.0
2024-02-07 18:35:00,82.0,67.6,23.7,635.7,121.5,1.1,56.2,0.0
2024-02-07 18:40:00,82.6,68.0,23.8,631.5,120.9,1.1,54.5,0.0
2024-02-07 18:45:00,83.0,68.3,23.9,631.7,108.0,1.1,55.6,0.0
2024-02-07 18:50:00,83.0,68.5,23.9,628.0,107.4,1.3,53.8,0.0
2024-02-07 18:55:00,83.0,68.2,23.9,636.1,112.6,1.5,54.6,0.0
2024-02-07 19:00:00,83.0,68.1,23.9,638.7,118.8,1.7,54.1,0.0
2024-02-07 19:05:00,83.0,68.7,23.9,630.9,125.6,1.6,56.2,0.0
2024-02-07 19:10:00,83.0,68.7,23.8,634.5,129.3,1.6,54.5,0.0
2024-02-07 19:15:00,82.9,68.2,23.8,629.1,128.2,1.2,54.7,0.0
2024-02-07 19:20:00,83.0,68.5,23.8,619.8,125.8,1.1,56.4,0.0
2024-02-07 19:25:00,83.0,68.8,23.8,614.4,118.0,1.3,57.9,0.0
2024-02-07 19:30:00,83.0,68.5,23.9,617.7,119.8,1.1,52.7,0.0
2024-02-07 19:35:00,83.0,68.0,23.9,614.5,116.6,1.1,53.9,0.0
