timestamp(America/New_York),score,temp(°F),humid,co2,voc,pm25,noise,light
2024-02-01 15:05:00,92.6,69.4,30.0,425.4,20.0,3.3,55.0,535.2
2024-02-01 15:10:00,93.8,69.8,31.6,423.7,20.0,3.4,58.7,448.9
2024-02-01 15:15:00,87.0,76.3,24.7,498.0,34.0,3.0,54.0,438.4
2024-02-01 15:20:00,88.7,74.5,25.6,461.2,20.0,3.4,56.2,436.4
2024-02-01 15:25:00,89.1,74.1,26.0,429.9,20.0,3.4,59.6,451.8
2024-02-01 15:30:00,89.9,74.0,26.3,425.4,20.0,3.4,58.4,449.1
2024-02-01 15:35:00,90.0,73.9,26.5,429.9,20.0,3.3,56.7,450.8
2024-02-01 15:40:00,90.0,73.6,26.8,428.7,20.0,3.3,55.9,452.3
2024-02-01 15:45:00,90.2,73.2,27.1,426.6,20.0,3.4,56.1,443.0
2024-02-01 15:50:00,90.5,73.0,27.2,421.7,20.0,3.4,55.5,450.1
2024-02-01 15:55:00,90.0,73.2,27.0,415.3,20.0,3.6,55.5,450.0
2024-02-01 16:00:00,90.0,73.1,27.0,409.4,20.0,3.3,56.3,449.6
2024-02-01 16:05:00,90.0,73.2,26.9,403.9,20.0,3.4,58.5,449.2
2024-02-01 16:10:00,90.0,73.1,26.9,404.6,20.0,3.7,57.8,448.9
2024-02-01 16:15:00,90.0,73.6,26.6,402.8,20.0,3.3,56.9,447.8
2024-02-01 16:20:00,90.0,73.7,26.6,400.9,20.0,3.6,56.4,447.1
2024-02-01 16:25:00,90.0,73.8,27.0,427.2,22.5,3.4,61.2,352.8
2024-02-01 16:30:00,89.1,72.8,27.3,511.7,43.5,6.2,71.2,152.8
2024-02-01 16:35:00,90.7,73.4,27.8,457.0,78.6,2.7,56.7,64.3
2024-02-01 16:40:00,89.3,75.5,26.2,488.3,80.2,3.3,62.3,57.9
2024-02-01 16:45:00,89.8,72.6,26.5,469.5,55.8,3.5,62.1,18.7
2024-02-01 16:50:00,89.2,71.7,28.0,582.9,43.4,2.0,51.7,1.8
2024-02-01 16:55:00,90.1,71.3,28.1,543.8,41.5,2.4,57.5,6.2
2024-02-01 17:00:00,91.4,70.3,29.8,532.4,61.9,4.2,70.8,22.3
2024-02-01 17:05:00,91.0,70.0,30.8,585.3,51.2,3.9,55.8,21.1
2024-02-01 17:10:00,92.4,69.2,31.6,554.4,42.0,3.7,54.6,31.0
2024-02-01 17:15:00,91.1,69.7,30.2,560.5,65.0,4.8,70.6,20.7
2024-02-01 17:20:00,91.1,69.9,30.2,562.0,33.2,4.0,56.5,4.5
2024-02-01 17:25:00,90.7,70.9,29.6,556.3,25.3,4.6,59.0,50.5
2024-02-07 14:25:00,84.2,70.0,41.6,855.8,783.5,1.0,56.0,113.9
2024-02-07 14:30:00,84.0,69.9,27.8,883.0,74.2,0.7,54.5,371.3
2024-02-07 14:35:00,84.1,69.5,22.7,445.6,20.0,0.4,51.1,411.6
2024-02-07 14:40:00,84.0,69.9,22.8,416.4,20.0,0.5,52.3,436.7
2024-02-07 14:45:00,83.9,70.0,22.6,405.7,20.0,0.8,54.4,457.7
2024-02-07 14:50:00,84.6,69.7,23.2,419.9,20.0,0.9,57.5,429.6
2024-02-07 14:55:00,85.3,69.6,23.6,444.0,20.0,1.1,58.9,431.3
2024-02-07 15:00:00,86.0,69.8,23.9,481.4,20.0,1.0,66.9,420.6
2024-02-07 15:05:00,85.8,70.0,24.3,529.5,21.4,1.1,64.6,421.4
2024-02-07 15:10:00,85.0,70.3,24.3,569.9,29.2,1.0,64.0,420.5
2024-02-07 15:15:00,84.1,70.5,24.5,607.7,50.4,1.2,64.6,406.2
2024-02-07 15:20:00,84.0,70.6,24.6,639.5,68.8,0.9,61.6,401.0
2024-02-07 15:25:00,84.4,70.5,24.9,658.8,66.6,0.6,62.4,411.7
2024-02-07 15:30:00,84.2,70.7,25.2,701.5,76.7,0.5,63.3,394.6
2024-02-07 15:35:00,84.0,71.0,25.1,720.2,89.1,0.6,58.8,353.6
2024-02-07 15:40:00,84.0,70.9,25.5,751.3,98.6,0.9,61.0,347.1
2024-02-07 15:45:00,84.0,71.0,25.7,780.3,113.4,0.7,63.9,345.2
2024-02-07 15:50:00,83.8,71.7,25.7,799.7,111.4,1.3,65.8,335.1
2024-02-07 15:55:00,83.3,71.3,25.6,825.6,103.9,1.6,53.6,366.7
2024-02-07 16:00:00,83.3,70.9,25.2,774.3,94.0,1.0,50.8,362.0
2024-02-07 16:05:00,83.9,70.6,25.0,728.0,87.1,0.6,51.3,353.2
2024-02-07 16:10:00,84.0,70.4,24.9,684.3,80.0,0.7,52.7,345.0
2024-02-07 16:15:00,84.0,70.4,24.7,651.6,74.9,0.5,55.5,336.0
2024-02-07 16:20:00,84.0,70.4,24.6,623.5,72.2,0.4,57.2,329.0
2024-02-07 16:25:00,84.8,70.3,24.6,609.9,73.2,0.7,57.0,320.5
2024-02-07 16:30:00,85.0,70.4,24.6,593.0,70.5,0.4,54.3,285.4
2024-02-07 16:35:00,85.0,70.5,24.5,584.1,69.4,0.6,50.6,266.3
2024-02-07 16:40:00,85.0,70.5,24.4,575.0,67.0,0.7,50.3,254.3
2024-02-07 16:45:00,85.0,70.6,24.2,562.8,68.6,0.5,50.3,245.6
2024-02-07 16:50:00,85.0,70.5,24.1,545.5,60.8,0.4,51.4,109.3
2024-02-07 16:55:00,85.9,70.1,24.3,528.8,60.2,0.5,51.4,36.9
2024-02-07 17:00:00,86.3,69.7,24.4,517.6,56.0,0.1,51.5,32.9
2024-02-07 17:05:00,87.0,69.5,24.5,507.7,47.8,0.2,50.7,15.8
2024-02-07 17:10:00,87.0,69.3,24.5,495.9,43.8,0.1,50.5,2.9
2024-02-07 17:15:00,87.0,69.1,24.6,488.3,46.2,0.2,51.0,21.3
2024-02-07 17:20:00,87.0,69.0,24.6,484.6,56.2,0.3,51.1,20.7
2024-02-07 17:25:00,87.0,68.9,24.6,474.0,61.4,0.1,51.0,18.1
2024-02-07 17:30:00,87.0,68.7,24.7,470.2,55.3,0.2,50.3,5.4
2024-02-07 17:35:00,87.0,68.7,24.7,464.0,54.2,0.2,50.5,6.2
2024-02-07 17:40:00,87.1,68.6,24.7,459.3,53.9,0.2,50.2,6.2
2024-02-07 17:45:00,87.4,68.5,24.8,453.9,55.6,0.1,50.5,7.4
2024-02-07 17:50:00,87.4,68.5,24.8,453.3,50.6,0.2,50.5,8.8
2024-02-07 17:55:00,87.5,68.5,24.8,450.6,49.4,0.4,50.4,8.8
2024-02-07 18:00:00,87.0,68.7,24.5,439.2,46.4,0.1,50.1,101.3
2024-02-07 18:05:00,86.7,68.7,24.2,433.9,44.1,0.0,50.9,174.3
2024-02-07 18:10:00,87.0,68.2,24.5,429.7,38.2,0.3,50.8,175.3
2024-02-07 18:15:00,86.7,68.4,24.3,424.6,34.5,0.2,50.0,86.8
2024-02-07 18:20:00,87.0,67.9,24.7,415.9,33.7,0.2,50.0,0.0
2024-02-07 18:25:00,87.0,67.9,24.7,413.7,34.3,0.2,50.0,0.0
2024-02-07 18:30:00,87.0,67.8,24.8,407.5,32.9,0.3,49.8,0.0
2024-02-07 18:35:00,87.0,67.8,24.8,410.4,33.3,0.4,49.6,0.0
2024-02-07 18:40:00,87.0,67.9,24.8,407.9,33.6,0.5,49.7,0.0
2024-02-07 18:45:00,87.0,67.9,24.7,406.1,33.3,0.3,49.5,0.0
2024-02-07 18:50:00,87.0,68.1,24.4,403.5,31.2,0.3,49.7,0.0
2024-02-07 18:55:00,86.4,67.8,24.4,400.0,28.4,0.5,50.3,0.0
2024-02-07 19:00:00,86.2,67.4,24.7,400.0,23.9,0.4,50.1,0.0
2024-02-07 19:05:00,86.1,67.1,24.9,400.0,22.6,0.9,50.0,0.0
2024-02-07 19:10:00,86.4,67.1,24.9,400.0,24.3,0.8,49.8,0.0
2024-02-07 19:15:00,86.9,67.3,24.8,400.0,24.1,1.0,49.7,0.0
2024-02-07 19:20:00,87.0,67.4,24.8,400.0,25.3,0.8,50.0,0.0
2024-02-07 19:25:00,87.0,67.6,24.7,400.0,26.2,0.8,49.3,0.0
2024-02-07 19:30:00,87.0,67.7,24.6,400.0,24.8,0.8,49.6,0.0
2024-02-07 19:35:00,86.4,67.7,24.4,400.0,23.8,0.8,49.7,0.0
2024-02-07 19:40:00,86.0,67.3,24.7,400.0,22.3,0.6,50.1,0.0
2024-02-07 19:45:00,86.0,67.0,24.9,400.0,20.5,0.4,50.1,0.0
2024-02-07 19:50:00,86.2,67.1,24.9,400.0,20.6,0.8,50.1,0.0
2024-02-07 19:55:00,86.7,67.2,24.9,400.0,20.2,0.6,49.8,0.0
2024-02-07 20:00:00,87.0,67.4,24.8,400.0,20.1,0.6,49.9,0.0
2024-02-07 20:05:00,87.0,67.5,24.8,400.0,20.3,0.8,49.7,0.0
2024-02-07 20:10:00,87.0,67.7,24.6,400.0,20.0,0.6,50.2,176.5
2024-02-07 20:15:00,87.1,67.9,24.7,400.1,20.9,0.8,53.7,256.5
2024-02-07 20:20:00,87.1,67.9,24.8,408.8,29.3,1.1,55.7,273.1
2024-02-07 20:25:00,87.2,68.2,24.6,413.0,31.9,1.0,55.5,278.4
2024-02-07 20:30:00,87.5,68.2,24.8,421.1,37.2,1.5,57.8,277.8
2024-02-07 20:35:00,87.9,68.9,25.1,446.3,49.2,1.9,61.2,258.6
2024-02-07 20:40:00,88.0,69.4,25.1,492.0,57.0,1.7,57.0,274.1
2024-02-07 20:45:00,87.6,69.6,25.1,517.0,63.7,1.4,56.0,269.2
2024-02-07 20:50:00,86.8,70.0,24.8,527.9,71.2,1.3,55.5,274.5
2024-02-07 20:55:00,86.9,69.9,25.0,537.1,89.1,1.1,55.2,274.7
2024-02-07 21:00:00,87.0,69.5,25.4,551.5,90.5,1.0,55.7,266.5
