timestamp,score,temp(°F),humid,co2,voc,pm25,noise,light
2024-03-04T05:00:00Z,99,69.5,39.2,475.1,153.6,0,50,0
2024-03-04T05:05:00Z,99,69.5,39.2,475.9,153.7,0,49.9,0
2024-03-04T05:10:00Z,99,69.5,39.2,475.2,155.1,0,49.9,0
2024-03-04T05:15:00Z,99,69.5,39.2,478.5,154.6,0,50.8,99.5
2024-03-04T05:20:00Z,99,69.6,39.1,475.8,154.4,0.1,50.3,22.6
2024-03-04T05:25:00Z,99,69.7,39,475.5,153.5,0.1,50,0
2024-03-04T05:30:00Z,99,69.6,39.1,475.6,154.9,0.1,49.9,0
2024-03-04T05:35:00Z,99,69.6,39.1,475.5,156.5,0,49.9,0
2024-03-04T05:40:00Z,99,69.6,39.1,475.7,156.3,0,50,0
2024-03-04T05:45:00Z,99,69.5,39.1,477,155.8,0.2,49.9,0
2024-03-04T05:50:00Z,99,69.5,39.1,478.1,157,0,50,0
2024-03-04T05:55:00Z,99,69.5,39.2,479.1,156.9,0,49.9,0
2024-03-04T06:00:00Z,99,69.5,39.1,478,156.6,0,49.9,0
2024-03-04T06:05:00Z,99,69.5,39.2,481.1,156.3,0.1,49.9,0
2024-03-04T06:10:00Z,99,69.5,39.1,481.2,157.7,0,49.9,2.1
2024-03-04T06:15:00Z,99,69.4,39.2,479.2,156.9,0,50.3,8.7
2024-03-04T06:20:00Z,99,69.4,39.1,481.1,157.6,0,51.8,72.9
2024-03-04T06:25:00Z,99,69.5,39.1,479,156.8,0,51.2,27.1
2024-03-04T06:30:00Z,99,69.5,39,477.8,156.9,0.1,51,39.3
2024-03-04T06:35:00Z,99,69.5,39.1,481.9,158.6,0,50.1,70.2
2024-03-04T06:40:00Z,99,69.5,39,478.2,157.1,0,50.7,90
2024-03-04T06:45:00Z,99,69.6,38.9,474.3,158.8,0.1,49.8,110.7
2024-03-04T06:50:00Z,98.8,69.7,38.8,478,157.7,0,50.6,105.9
2024-03-04T06:55:00Z,98.4,69.8,38.7,482.4,157.6,0,50.2,67.9
2024-03-04T07:00:00Z,98.4,69.7,38.8,483,158.3,0,49.8,55.2
2024-03-04T07:05:00Z,98.9,69.4,39,483,149.7,0.1,50.2,52.1
2024-03-04T07:10:00Z,99.1,68.7,39.8,482.3,137.2,0.1,50.3,52.6
2024-03-04T07:15:00Z,99.5,68.5,39.9,477.6,125.1,0.4,50.3,54.3
2024-03-04T07:20:00Z,100,68.3,40,472.2,117.5,0.5,49.8,59
2024-03-04T07:25:00Z,100,68,40.3,472.5,112.7,0.5,49.8,66.9
2024-03-04T07:30:00Z,99.7,67.9,40.5,474.5,107.3,0.7,50.6,74.4
2024-03-04T07:35:00Z,99,67.6,40.9,471.6,103.9,0.4,51,82.6
2024-03-04T07:40:00Z,99,67.6,40.9,467.1,101.3,0.5,50.7,95.6
2024-03-04T07:45:00Z,99.4,67.8,40.8,463.4,95.9,0.6,49.8,111.2
2024-03-04T07:50:00Z,100,68,40.6,462.6,92.7,0.6,51.1,124.9
2024-03-04T07:55:00Z,100,68.2,40.4,462.7,89,0.5,51,134.7
2024-03-04T08:00:00Z,99.9,68.5,40.1,460.4,84.3,0.4,50.5,139.2
2024-03-04T08:05:00Z,99.2,68.9,39.4,458.4,82.1,0.3,50,141.5
2024-03-04T08:10:00Z,99.2,68.7,39.5,453.9,76.7,0.1,49.9,144
