"timestamp.America.New_York.","score","temp..F.","humid","co2","voc","pm25","noise","light"
"2024-02-01 15:05:00",91,69.2,29.9,445.7,20,3.5,55.3,463.8
"2024-02-01 15:10:00",91.2,69.3,30.6,458.3,20,3.6,56.9,450.3
"2024-02-01 15:15:00",90.1,72.9,28.6,562.5,20,3.2,57.1,450.9
"2024-02-01 15:20:00",87.9,74.5,25.6,529.5,20,3.4,56,556.9
"2024-02-01 15:25:00",89,74.1,25.8,470.4,20,3.4,59.5,548.5
"2024-02-01 15:30:00",89.9,73.7,26.3,457.8,20,3.7,58.5,545.9
"2024-02-01 15:35:00",89.8,74,26.2,461.9,20,3.4,56.5,521.3
"2024-02-01 15:40:00",90,73.7,26.4,457.4,20,3.5,55.7,549.6
"2024-02-01 15:45:00",90,73.3,26.9,457,20,3.8,56,542.4
"2024-02-01 15:50:00",90,73.4,26.7,450.8,20,3.8,55.2,548.2
"2024-02-01 15:55:00",90,73.7,26.5,441.2,20,3.6,55.2,547.9
"2024-02-01 16:00:00",90,73,26.9,439.3,20,3.6,56.1,547.3
"2024-02-01 16:05:00",90,73.1,26.8,436.8,20,3.4,58.7,547
"2024-02-01 16:10:00",90,73,26.9,433.3,20.5,3.5,58.6,546.7
"2024-02-01 16:15:00",89.9,73.8,26.3,430.3,25.7,3.6,57.3,545.7
"2024-02-01 16:20:00",89.9,73.8,26.3,427.6,30.6,3.6,56,545
"2024-02-01 16:25:00",89.7,74,26.6,454.3,41.1,3.3,60.2,434.7
"2024-02-01 16:30:00",88.3,73.1,26.7,535.6,79.9,6,68.7,163.6
"2024-02-01 16:35:00",90.4,72.7,27.8,501.6,109.8,5,55.4,32.5
"2024-02-01 16:40:00",89.7,73.9,27.3,526.2,115.9,4.5,60.6,7.4
"2024-02-01 16:45:00",90.4,71,27.3,501.8,67.2,3.7,60.2,4.1
"2024-02-01 16:50:00",92,68.3,29.7,521.2,95.3,2,51,0.8
"2024-02-01 16:55:00",91.3,68.8,29.8,535.5,111.7,2.4,57,10.2
"2024-02-01 17:00:00",90.7,67.6,31.8,563,124.8,4.9,71.3,31.9
"2024-02-01 17:05:00",88.4,72.7,45.9,732.3,274.5,13.3,59.1,61.1
"2024-02-01 17:10:00",89.5,70.8,33.4,758.3,77.8,9.8,54.3,19.9
"2024-02-01 17:15:00",91.3,68.7,31.5,593.8,25,4.2,51.5,23.4
"2024-02-01 17:20:00",92.6,68.1,31.7,551.2,20,3.5,51.4,23.2
"2024-02-01 17:25:00",92.8,67.7,31.9,529.1,20,3.7,51.3,23
"2024-02-01 17:30:00",93.1,67.5,31.8,511.5,20,3.6,50.2,10.7
"2024-02-01 17:35:00",93.4,68,31.5,499.4,20,3.5,49.8,0
"2024-02-01 17:40:00",93.6,68,31.7,492.6,20,3.4,49.8,0
"2024-02-01 17:45:00",93.2,68.6,31,483.2,20,3.3,49.9,0
"2024-02-01 17:50:00",93,68.3,31,475.8,20.6,3.5,49.9,0
"2024-02-01 17:55:00",93,67.9,31.2,471.6,22.7,3.4,49.8,0
"2024-02-01 18:00:00",92.9,67.4,31.5,467.7,23.9,3.7,49.8,0
"2024-02-01 18:05:00",92.7,67.2,31.7,460.3,24.3,3.8,49.9,0
"2024-02-01 18:10:00",93,67.6,31.4,464,28.5,3.7,49.8,0
"2024-02-01 18:15:00",93,68.1,31,461.6,33.1,3.6,49.9,0
"2024-02-01 18:20:00",93,68.4,30.8,459.5,37.3,3.6,49.9,0
"2024-02-01 18:25:00",93,68.5,30.6,451.5,40.7,3.8,49.9,0
"2024-02-01 18:30:00",92.9,67.8,31,449.2,38.6,3.9,49.8,0
"2024-02-01 18:35:00",92.8,67.6,31.1,451.4,45.1,3.8,49.8,0
