"timestamp.America.New_York.","score","temp..F.","humid","co2","voc","pm25","noise","light"
"2024-02-01 15:05:00",90.9,70.6,28.4,491.2,20,3.3,55.2,558.4
"2024-02-01 15:10:00",91.5,71,28.9,493.4,20,3.4,57.7,447.2
"2024-02-01 15:15:00",87,75.5,24.7,400,22,3,54.6,208.8
"2024-02-01 15:20:00",88.1,74.8,25.4,497.2,20,3.3,57.3,199.5
"2024-02-01 15:25:00",88.4,74.1,25.5,504.5,20,3.1,60.1,233.7
"2024-02-01 15:30:00",89,73.9,25.8,495.5,20,3.2,58.5,234.6
"2024-02-01 15:35:00",89.6,73.7,26.1,493.7,20,3.2,56.6,236.7
"2024-02-01 15:40:00",89.8,73.5,26.4,497.7,20,3.2,56.2,238.1
"2024-02-01 15:45:00",90,73.1,26.6,484.2,20,3.3,56,243.6
"2024-02-01 15:50:00",90,73.1,26.5,471.4,20,3.2,54.9,244.8
"2024-02-01 15:55:00",90,73.2,26.4,463.1,20,3.3,54.9,244.5
"2024-02-01 16:00:00",90,73.2,26.3,456.4,20,3.2,55.6,244.4
"2024-02-01 16:05:00",90,73.2,26.3,453.1,20,3.3,57.4,244.2
"2024-02-01 16:10:00",90,73.1,26.4,447.8,20.1,3.3,56.8,243.7
"2024-02-01 16:15:00",90,73,26.5,444.7,20.4,3.2,56.1,243
"2024-02-01 16:20:00",90,72.8,26.6,441.3,20.6,3.3,55.5,242.8
"2024-02-01 16:25:00",89.2,72.8,27.4,531.7,32.7,2.9,62.2,143.2
"2024-02-01 16:30:00",88.8,71.7,27.4,573.6,65.9,4.6,69.5,0
"2024-02-01 16:35:00",89.5,72.9,27.4,546.1,95.4,2.5,56.7,0
"2024-02-01 16:40:00",88.2,74.6,26.2,552.3,101.5,2.9,62.3,0.1
"2024-02-01 16:45:00",89.2,72,26.2,501.3,48.9,2.9,62.5,0
"2024-02-01 16:50:00",88,71.5,27.5,629.6,72.8,1.3,52.5,0
"2024-02-01 16:55:00",88,71.8,27.1,598,76.9,1.4,57.3,0.1
"2024-02-01 17:00:00",89.7,70.8,28.4,562.5,104.1,2.9,70.6,0.9
"2024-02-01 17:05:00",89.1,71.3,29.3,620.2,69.4,3.2,58.1,75.8
"2024-02-01 17:10:00",89.7,70.9,29.3,594.4,20,3,55.5,76.9
"2024-02-01 17:15:00",89,70.3,29,630.7,20,4.5,71.1,0.3
"2024-02-01 17:20:00",90,69.7,29.6,596.1,20,3.7,57,8.9
"2024-02-01 17:25:00",89.4,70.2,29.2,590.4,20,4.8,59.5,31.9
"2024-02-06 19:20:00",85,70.3,33.3,868.8,601.2,2.8,62.9,47
"2024-02-06 19:25:00",77.2,72.1,23.9,961.8,38.2,1.7,54.8,91.4
"2024-02-06 19:30:00",74.2,71.3,17.7,580.5,20,2.1,51.6,111
"2024-02-06 19:35:00",75.2,71.3,17.6,530.7,20,1.1,50.2,112.2
"2024-02-06 19:40:00",76,71,17.8,513.3,20,1.1,49.5,111.9
"2024-02-06 19:45:00",76.4,70.6,18.1,511.1,20,1,49,111.6
"2024-02-06 19:50:00",77,70.3,18.3,510.2,20,1,48.7,111.5
"2024-02-06 19:55:00",77,70.1,18.4,510,20,1.1,50.4,111.4
"2024-02-07 08:00:00",73,72.3,15.9,405.3,27,1,50.4,114.5
"2024-02-07 08:05:00",73,72.6,15.7,405.2,27,1.1,50.4,114.9
"2024-02-07 08:10:00",72.1,73,15.6,402.4,29,1,50.4,115.2
"2024-02-07 08:15:00",72.2,72.9,15.6,400.7,26.8,1,50.5,115.4
"2024-02-07 09:15:00",75.9,71.1,17.4,447.4,71.5,0.1,50.1,113
"2024-02-07 09:20:00",75.6,71.5,17.3,457.5,80.8,0.3,50.1,113.4
"2024-02-07 09:25:00",75,71.8,17.3,462,85.1,0.3,50.1,113.9
"2024-02-07 09:30:00",75.8,71.8,17.4,466,88.3,0.5,50,114
"2024-02-07 09:35:00",76,71.4,17.6,466.6,88.1,0.3,50,113.8
"2024-02-07 09:40:00",76,71.1,17.7,469.2,86.6,0.1,50,113.3
"2024-02-07 09:45:00",76.3,70.8,17.8,468.5,87.6,0.2,50.1,113.1
"2024-02-07 09:50:00",77,70.4,18,466.5,87.6,0.2,49.9,112.5
"2024-02-07 09:55:00",77,70.5,18.1,464.5,91.5,0.2,49.8,111.9
"2024-02-07 10:00:00",77,70.4,18.3,472.2,100.7,0.3,49.6,111.7
"2024-02-07 10:05:00",77.2,70.4,18.5,489.8,115.6,0.2,49.7,111.6
"2024-02-07 10:10:00",77.8,70.2,18.9,510.9,129.3,0.3,50.1,111.6
"2024-02-07 10:15:00",77.3,70.2,19.1,529,136.3,0.2,50,111.4
"2024-02-07 10:20:00",77,70.3,19.2,544.7,143.1,0,49.7,111.2
"2024-02-07 10:25:00",77,70.2,19.4,561.2,147.9,0.1,49.6,111.3
"2024-02-07 10:30:00",77,70.2,19.6,567.1,150.3,0.1,49.6,111.8
"2024-02-07 10:35:00",77,70.5,19.5,568,150.1,0,49.6,112.5
"2024-02-07 10:40:00",76.6,70.9,19.3,571.7,150.8,0.1,49.8,112.8
"2024-02-07 10:45:00",76,71.2,19.1,572.5,151.7,0.1,50,113.4
"2024-02-07 10:50:00",76.2,71.2,19.1,568.1,152.4,0.1,50.2,113.6
"2024-02-07 10:55:00",77,70.7,19.4,561.6,144.8,0.5,51,113.5
"2024-02-07 11:00:00",77.2,70.4,19.6,562.8,142.5,0.4,50.3,113.2
"2024-02-07 11:05:00",77.2,70.3,19.7,561.7,151.6,0.3,49.7,112.7
"2024-02-07 11:10:00",77.8,70.2,19.7,552.8,139.4,0.2,50,112.4
"2024-02-07 11:15:00",78.1,69.9,19.8,542.4,133.4,0.2,50.4,112.2
"2024-02-07 11:20:00",78.1,70,19.8,539.8,130.8,0.3,50.5,112
"2024-02-07 11:25:00",78.5,69.9,19.8,533.5,126.1,0.1,50.1,112
"2024-02-07 11:30:00",78.6,69.9,19.7,527.3,122.4,0.1,50.2,112
"2024-02-07 11:35:00",78.7,69.9,19.6,522.3,119.7,0,50.2,112
"2024-02-07 11:40:00",78.6,70,19.6,519.3,116.2,0,50.1,111.8
"2024-02-07 11:45:00",79,69.8,19.6,514.1,113.4,0.1,50.2,111.6
"2024-02-07 11:50:00",79,69.6,19.7,507.3,109.7,0.3,56.9,108.7
"2024-02-07 11:55:00",79,69.9,19.5,497.6,110.8,1,58.9,107.3
"2024-02-07 12:00:00",79.2,69.8,20.1,521,131.4,1.7,59.4,112
"2024-02-07 12:05:00",79.2,69.6,21.1,577.3,148.1,1.6,57.9,116.4
"2024-02-07 12:10:00",79,69.8,21.2,606.2,154.3,0.9,57.2,116.6
"2024-02-07 12:15:00",78.5,70,21.3,634.4,154.1,0.5,56.7,116.6
"2024-02-07 12:20:00",77.9,70.6,20.9,643.9,146.9,0.3,57.2,117.1
"2024-02-07 12:25:00",76.8,71.6,20.2,638.8,149,0.2,57.2,117.5
"2024-02-07 12:30:00",76,72.4,19.7,633.2,149,0.3,58.2,118.3
"2024-02-07 12:35:00",76,72.8,19.5,630,143.5,0.3,57,119
"2024-02-07 12:40:00",76,72.6,19.4,621,130.5,0.6,57.2,118.8
"2024-02-07 12:45:00",76.9,71.9,19.7,599.3,116.2,0.9,57.5,118.5
"2024-02-07 12:50:00",77.8,71.4,19.9,578.7,105.4,0.9,55.9,118
"2024-02-07 12:55:00",77.8,71.4,19.6,562.3,93.1,0.6,56.3,117.7
"2024-02-07 13:00:00",78,71.2,19.4,538.8,84.7,0.7,56.2,117.2
"2024-02-07 13:05:00",78,71,19.3,521.8,81.8,0.8,55.4,116.9
"2024-02-07 13:10:00",78,71.3,19,513.9,87.1,0.9,60.2,114.3
"2024-02-07 13:15:00",78.1,71.1,18.9,490.5,74.8,1.5,55.9,113.3
"2024-02-07 13:20:00",77.2,71.2,18.4,461.2,64.9,0.7,50,113.2
"2024-02-07 13:35:00",76.3,71.1,17.9,411.6,52.3,0.4,50.8,112.2
"2024-02-07 13:40:00",76.9,70.9,18.1,414.7,59.2,1.5,57.5,102.7
"2024-02-07 13:45:00",76.5,71.2,17.9,418.1,61,0.7,54.6,105.6
"2024-02-07 13:50:00",76.8,71.1,18,417.7,63.8,0.6,56,105.7
"2024-02-07 13:55:00",76.9,71,18,419.4,67,0.5,55.4,104.1
"2024-02-07 14:00:00",77,70.9,18.1,421.9,63.1,0.6,57.3,105.3
"2024-02-07 14:05:00",76.9,71.1,17.9,423.8,57.3,0.7,57.3,107.6
"2024-02-07 14:10:00",76.6,71.2,17.9,424.1,60.5,0.6,57.5,108.5
"2024-02-07 14:15:00",76.1,71.5,17.8,424.2,63.2,0.5,57.5,107.7
"2024-02-07 14:20:00",76,71.5,17.7,419.9,61.4,0.8,59.6,109.3
"2024-02-07 14:25:00",76,71.3,17.6,416.6,63.4,0.9,55.9,109
"2024-02-07 14:30:00",76,71.4,17.6,411.3,79.2,1,57.7,108
"2024-02-07 14:35:00",76,71.5,17.6,409.4,70.5,1,58.6,109.7
"2024-02-07 14:40:00",76,71.4,17.6,407.1,65.5,1,59,110.3
"2024-02-07 14:45:00",75.9,71.5,17.5,404,60.8,0.9,58.3,105.5
"2024-02-07 14:50:00",76,71.5,17.5,400.8,60.6,0.9,58,107.6
"2024-02-07 14:55:00",76,71.5,17.6,405.8,79,0.9,59.1,107.4
"2024-02-07 15:00:00",76,71.5,17.9,424.7,120.2,1,55.4,104.3
"2024-02-07 15:05:00",76.1,71.6,17.9,440.8,119.5,1,54.1,106.2
"2024-02-07 15:10:00",76.9,71.5,18.1,446.1,111.1,0.9,54.5,106.2
"2024-02-07 15:15:00",77,71.5,18.1,449.6,98.8,0.9,58.8,106.7
"2024-02-07 15:20:00",77,71.6,18.1,450,93,0.8,61.8,108
"2024-02-07 15:25:00",77,71.7,18.1,450.5,84.8,1,62.3,107.1
"2024-02-07 15:30:00",77,71.5,18.2,449.9,85,0.9,64.1,108.1
"2024-02-07 15:35:00",77,71.6,18.1,447.1,79.9,0.9,64.8,106.8
"2024-02-07 15:40:00",77,71.5,18,442.8,81.4,0.9,64.6,106.6
"2024-02-07 15:45:00",77.2,70.8,18.4,443.2,78,0.8,64.6,105.1
"2024-02-07 15:50:00",78.6,69.8,19.1,446.5,82.4,1.1,58.2,101.1
"2024-02-07 15:55:00",78.1,69.9,19,446.6,83.1,1.3,50.8,99.9
"2024-02-07 16:00:00",78.5,69.6,19.1,441.4,86.6,0.8,51.4,99.4
"2024-02-07 16:05:00",78.2,69.7,19,432.6,93.1,0.4,51.3,99.1
"2024-02-07 16:10:00",78,70,18.8,426,91.8,0.3,51.9,99.2
"2024-02-07 16:15:00",78,70.3,18.5,425.6,88,0.2,51.2,100.9
"2024-02-07 16:20:00",77.4,70.6,18.5,421.9,87.4,0.2,52.5,101.6
"2024-02-07 16:25:00",77,71.2,18.2,420.8,92.2,0.1,52.2,102.2
"2024-02-07 16:30:00",76.6,71.7,17.9,420.8,94.5,0.1,50.6,106.2
"2024-02-07 16:35:00",76,72.1,17.7,420.6,95.3,0.2,50.7,110.9
"2024-02-07 16:40:00",76,72.1,17.5,416.6,90.3,0.4,51,111.2
"2024-02-07 16:45:00",76,71.5,17.7,409.4,85.2,0.5,51.5,110.9
"2024-02-07 16:50:00",76.1,71.2,17.8,405.1,104.2,0.8,52.2,108
"2024-02-07 16:55:00",76.3,70.9,17.9,400.6,97.7,0.8,50.9,102.4
"2024-02-07 17:00:00",76.3,70.9,17.8,400,83.4,0.8,50.5,101.9
"2024-02-07 17:05:00",76,70.9,17.8,400,79,1,50.6,101.5
"2024-02-07 17:10:00",76.4,70.8,17.9,400,79.7,0.8,50.5,101.7
"2024-02-07 17:15:00",76.8,70.7,18,400,78.1,0.9,50.4,102.1
"2024-02-07 17:20:00",76.4,70.8,17.9,400,80.8,0.7,50.4,102.5
"2024-02-07 17:25:00",76.5,70.9,17.9,400,80.5,0.7,50.4,102.5
"2024-02-07 17:30:00",76.5,70.9,17.9,400,81.7,0.8,50.5,102.6
"2024-02-07 17:35:00",76.4,70.8,17.9,400,84.6,0.9,50.4,102.7
"2024-02-07 17:40:00",76.4,70.8,17.9,400,86.4,0.8,50.4,102.6
"2024-02-07 17:45:00",76.5,71,17.9,400,87.7,0.9,50.4,102.2
"2024-02-07 17:50:00",76.6,71,17.9,400.6,86.3,1,50.4,102
"2024-02-07 17:55:00",76.8,71,18,405.7,87.9,1,50.4,101.9
"2024-02-07 18:00:00",77,70.9,18.2,418.4,101.2,1.1,50.4,101.8
"2024-02-07 18:10:00",77.6,70.8,18.7,463.6,123.7,1.1,50.2,101.8
"2024-02-07 18:15:00",78,70.7,18.9,477.7,130.8,1.1,50.1,101.7
"2024-02-07 18:20:00",78.1,70.4,19.1,483.6,136.1,1.1,50.1,101.4
"2024-02-07 18:25:00",78.2,70.3,19.2,491.9,132.9,1.2,50.1,101.3
"2024-02-07 18:30:00",79.3,69.1,19.7,483.7,122.7,1.1,50.4,101.4
"2024-02-07 18:35:00",79,69.2,19.6,473.3,117.5,1,50.5,100.7
"2024-02-07 18:40:00",79,69.5,19.4,463.5,115.4,1,50.6,100.3
"2024-02-07 18:45:00",79,69.6,19.3,456.2,117.9,1,51.3,100.4
"2024-02-07 18:50:00",78.8,69.9,19.3,460.9,119.3,1.2,51.4,100.9
"2024-02-07 18:55:00",78.9,70.4,19.4,478.3,130.8,1,51,101.5
"2024-02-07 19:00:00",78.5,70.9,19.6,515.6,149.3,1.1,50.4,102.2
"2024-02-07 19:05:00",77.5,71.2,20,564.7,167.7,1.1,50.4,102.7
"2024-02-07 19:10:00",77.6,70.6,20.5,595.5,174.4,1.5,50.3,102.7
"2024-02-07 19:15:00",78,70.1,20.8,597.5,178.4,1.4,50.3,102.2
