"timestamp.America.New_York.","score","temp..F.","humid","co2","voc","pm25","noise","light"
"2024-02-01 16:05:00",83.6,73.6,38.1,1807.1,48.8,6,64,324.2
"2024-02-01 16:15:00",87.5,72.2,32.6,963,20,4.8,59.2,815.4
"2024-02-01 16:20:00",88.2,72.9,33.3,946.5,20,4.3,67.2,404.8
"2024-02-01 16:25:00",89.3,72.7,31,714.2,20,1.7,72.8,2.5
"2024-02-01 16:30:00",88.7,73.6,26.7,524.4,20,4.4,69.8,0
"2024-02-01 16:35:00",90.4,74,27.3,480.5,20,1.7,56.3,0
"2024-02-01 16:40:00",89.6,75.2,26.6,510,20,2.2,61.7,0
"2024-02-01 16:45:00",88.9,73.7,25.9,477.7,20,2.5,62.8,0
"2024-02-01 16:50:00",88,73.1,27.1,618.2,20,0.9,53,0
"2024-02-01 16:55:00",88.3,73.2,26.8,578.3,20,1.1,57.3,0
"2024-02-01 17:00:00",90.3,71.7,28.4,535.2,20,3.9,69.4,0
"2024-02-01 17:05:00",90,72.4,28.9,580.9,20,2.6,59.8,0
"2024-02-01 17:10:00",90,72.4,28.6,566.4,20,1.8,55.8,0
"2024-02-01 17:15:00",88.3,73.4,27.3,616.6,20,3.5,69.1,0
"2024-02-01 17:20:00",89,72.9,27.6,579.1,20,2.9,59.2,5.2
"2024-02-01 17:25:00",89.1,73.1,27.5,573.8,20,3.1,61.8,19.4
"2024-02-07 14:50:00",82.7,69.6,25.9,821.7,103.8,3.1,56.7,42
"2024-02-07 14:55:00",81.3,67.7,23.1,620.9,20,3.5,55.6,45.5
"2024-02-07 15:00:00",81.7,66.9,23.1,555.5,20,2.4,59.1,52
"2024-02-07 15:05:00",82,66.4,23.4,531.3,20,1.7,62,59.9
"2024-02-07 15:10:00",82,66.3,23.6,532.4,20,1.4,60.8,58.3
"2024-02-07 15:15:00",82.5,66.2,23.8,532.1,20,1.3,60.3,55.3
"2024-02-07 15:20:00",83,66,24.2,535.2,20,1.1,62,53.6
"2024-02-07 15:25:00",83,66.5,24,548.6,20,1.2,60.8,53.1
"2024-02-07 15:30:00",83,67.1,23.7,564.5,20,1,61.6,53.1
"2024-02-07 15:35:00",83,67.2,23.7,570.2,20,1.2,60.7,55.7
"2024-02-07 15:40:00",83,67.3,23.7,578.9,20,0.9,60,52.8
"2024-02-07 15:45:00",83,67.5,23.6,581,20,1,57.5,40.5
"2024-02-07 15:50:00",83,67.7,23.5,583.3,20.2,1.1,61.3,34.8
"2024-02-07 15:55:00",83,68,23.4,583.1,21.3,2.4,63.5,31.9
"2024-02-07 16:00:00",83,68.3,23.5,590.6,22.8,3.9,60.6,34.7
"2024-02-07 16:05:00",83.8,68,24.2,615,25.2,5.1,58.9,30.2
"2024-02-07 16:10:00",83.9,67.8,24.6,633.6,24,3.7,60.2,28.5
"2024-02-07 16:15:00",83.4,67.7,24.3,630.1,24.7,2.4,60,30.5
"2024-02-07 16:20:00",83.3,67.5,24.4,619.7,26.3,2.1,60.2,30.4
"2024-02-07 16:25:00",83.1,67.4,24.4,615.4,30.3,2.1,60.4,29.8
"2024-02-07 16:30:00",83,67.4,24.2,597.9,31.9,1.5,60.2,29.4
"2024-02-07 16:35:00",83.1,67.2,24.2,586,31,1.7,60.3,25.7
"2024-02-07 16:40:00",83.1,67.4,24.1,589,33.3,1.7,58.7,24
"2024-02-07 16:45:00",83,67.5,23.9,588.6,33.9,1.4,60.1,23.4
"2024-02-07 16:50:00",83.1,67.5,24.1,594.6,37.3,1.5,60.2,19.1
"2024-02-07 16:55:00",83.1,67.4,24.1,595.4,37.2,1.8,58.8,17.5
"2024-02-07 17:00:00",83.1,67.4,24.1,596.6,39.6,3.2,62.8,15.8
"2024-02-07 17:05:00",82,66.5,23.9,577.8,28.2,2.8,53.1,17.6
"2024-02-07 17:10:00",82.1,66,23.6,520,23.3,1.9,53,17.2
"2024-02-07 17:15:00",83,66.4,23.3,481.5,26.3,1.5,52.8,16.9
