"timestamp.America.New_York.","score","temp..F.","humid","co2","voc","pm25","noise","light"
"2024-02-01 15:05:00",91,70.1,29.7,400,20,3.3,56,466
"2024-02-01 15:10:00",91.3,70.4,29.6,427.5,20,3.3,56.3,471.7
"2024-02-01 15:15:00",92.4,72.1,30.1,446,20,4.4,56.8,570.1
"2024-02-01 15:20:00",91.2,72.3,28.5,418,20,3.3,55.9,789.6
"2024-02-01 15:25:00",91,72.5,27.9,401.2,20,3.1,59.4,772.1
"2024-02-01 15:30:00",91,72.5,28,400,20,3.1,58.1,745.7
"2024-02-01 15:35:00",91,72.8,27.9,400,20,3.2,56.2,785
"2024-02-01 15:40:00",91,72.9,27.7,400,20,3.1,55.5,792.1
"2024-02-01 15:45:00",91,72.8,27.8,400,20,3.3,55.8,846.7
"2024-02-01 15:50:00",91,72.9,27.6,400,20,3.2,55,851
"2024-02-01 15:55:00",91,73.1,27.4,400,20,3.2,55,850.6
"2024-02-01 16:00:00",91,72.8,27.6,400,20,3.6,55.9,850.1
"2024-02-01 16:05:00",91,73,27.5,400,20,3.3,58.3,849.7
"2024-02-01 16:10:00",91,72.8,27.5,400,20,3.4,57.8,849.6
"2024-02-01 16:15:00",90.8,73.2,27.3,400,20,3.4,56.7,848.5
"2024-02-01 16:20:00",90.1,73.4,27.1,400,20,3.7,55.9,848.2
"2024-02-01 16:25:00",90.4,73.6,27.3,403.9,22.2,3.6,59.5,702.6
"2024-02-01 16:30:00",89.8,73,26.9,431.3,60.5,6.6,69.3,168.3
"2024-02-01 16:35:00",91.6,74.4,34.1,542.4,130,5.6,57.1,46
"2024-02-01 16:40:00",88.5,73.4,29.7,702.5,24.6,5.2,56.6,36.6
"2024-02-01 18:25:00",93.2,68.3,31.2,400,38.2,5,61.6,45.3
"2024-02-01 18:30:00",93.6,68.9,31.1,420.3,71.1,4.9,63.4,48.6
"2024-02-01 18:35:00",91.5,69.9,29.9,427.6,198.9,4.3,57.3,49.9
"2024-02-01 18:40:00",91,70.3,30,443.9,285.8,4.8,56.3,50.7
"2024-02-01 18:45:00",90,70.6,30,463.7,315.1,4.7,57,51.4
"2024-02-01 18:50:00",90,70.9,29.8,470.4,331.3,4.7,56.4,51.2
"2024-02-01 18:55:00",90,71.2,29.7,481.7,328.2,4.7,56,50.2
"2024-02-01 19:00:00",90,71.5,29.4,483.4,320.6,4.9,56.7,50.2
"2024-02-01 19:05:00",89.9,71.6,29.3,479.8,325,4.8,56.8,51.1
"2024-02-01 19:10:00",86.3,71.7,29.2,480.6,1057.3,4.9,56.5,48.8
"2024-02-01 19:15:00",84.1,71.7,29.2,481.6,1648.9,5.1,64.6,45.9
"2024-02-01 19:20:00",84,71.7,29.4,488.9,1753.1,5.2,66.5,46.4
"2024-02-01 19:25:00",84,71.7,29.4,496.6,1737.6,5.3,68.5,46.7
"2024-02-01 19:30:00",84.8,71.8,29.4,496.8,1570.5,5.1,67.5,46.9
"2024-02-01 19:35:00",85.3,71.7,29.4,496.6,1361.8,5.1,66.9,47
"2024-02-01 19:40:00",86,71.8,29.4,500.6,1161.2,5.3,66.5,47.1
"2024-02-01 19:45:00",86.5,71.8,29.3,491.4,984.1,5.2,64.5,47.2
"2024-02-01 19:50:00",87,71.9,29.3,493.4,852.7,5.9,64.3,47.8
"2024-02-01 19:55:00",87,71.9,29.1,486,714.4,5.3,63.7,48
"2024-02-02 08:00:00",93,68.6,31.1,450.1,136.2,5.2,53.6,51.8
"2024-02-02 08:05:00",93,68.5,31.2,446.4,133.8,5.4,50.1,51.8
"2024-02-02 10:00:00",93,68.5,31.8,444.9,147.3,5.1,51.6,52.1
"2024-02-02 10:05:00",93.8,68.5,32,458.2,146.4,5.1,51,52.1
"2024-02-02 10:10:00",94,68.4,32.2,470.8,150.3,4.9,49.8,52.2
"2024-02-02 10:15:00",94,68.4,32.3,479.1,152.4,4.8,50.1,52.4
"2024-02-02 10:20:00",94,68.3,32.4,482.4,152.6,4.7,49.9,52.5
"2024-02-02 10:25:00",94,68.3,32.4,487,149.4,4.4,49.8,52.7
"2024-02-02 10:30:00",94,68.3,32.5,490.8,148.7,4.4,50,52.9
"2024-02-02 10:35:00",94,68.3,32.5,492.9,146.5,4.1,50,53
"2024-02-02 10:40:00",94,68.3,32.5,494,148,4,49.8,53.1
"2024-02-02 10:45:00",94,68.1,32.6,489.6,145.5,4,50,53
"2024-02-02 10:50:00",94,68,32.5,480.7,140.2,3.5,50,52.7
"2024-02-02 10:55:00",94,67.9,32.4,468.5,132.6,3.3,50.4,52.6
"2024-02-02 11:00:00",94,67.8,32.4,455.3,125.8,2.8,49.4,52.5
"2024-02-02 11:55:00",93,67,32.4,418.7,123.7,2.5,56.8,51.9
"2024-02-02 12:00:00",92.3,67,32.4,427.3,149.8,2.8,58.1,46.2
"2024-02-02 12:05:00",92.9,67,32.5,439.3,147.4,2.9,56.6,48.1
"2024-02-02 12:10:00",92.9,67,32.5,447.8,140.5,2.6,58.5,48
"2024-02-02 12:15:00",92.9,66.9,32.6,453.8,139.4,2.5,57,48
"2024-02-02 12:20:00",92.7,66.8,32.7,452,134.9,2.2,57.7,47.9
"2024-02-02 12:25:00",93,66.9,32.6,452.1,131.2,2.1,56.8,48.6
"2024-02-02 12:30:00",92.9,67,32.5,453.8,137.7,2.2,57,48.2
"2024-02-02 12:35:00",92.4,66.9,32.5,455.6,140.7,2.1,57.9,49.9
"2024-02-02 12:40:00",92.6,67,32.3,456.1,141.6,2.1,57.8,50.4
"2024-02-02 12:45:00",92.8,67.1,32.4,457.9,142.1,2,59.1,50.5
"2024-02-02 12:50:00",93,67.5,32.2,464.5,150.4,1.8,57.5,49.6
"2024-02-02 12:55:00",93,67.8,32,474.8,157.8,1.5,57,49.6
"2024-02-02 13:00:00",92.5,68.4,31.2,479.2,179.8,1.8,59.3,53.5
"2024-02-02 13:05:00",92,69.1,30.9,488.8,222.3,1.7,57.6,49.5
"2024-02-02 13:10:00",92,69.3,31,501.2,229.1,1.9,58.3,45.3
"2024-02-02 13:15:00",91.7,69.6,30.8,510.5,233.6,1.9,58.6,45.5
"2024-02-02 13:20:00",91,69.9,30.6,513.5,236.2,1.7,53.3,45.2
"2024-02-02 13:25:00",91,70,30.3,507.3,238.7,1.7,50.3,45.1
"2024-02-02 13:30:00",91,70.1,30.1,500.7,239.5,1.7,50.1,45.2
"2024-02-02 13:35:00",91,70.4,29.9,497.5,244.1,1.6,50.1,45.2
"2024-02-02 13:40:00",91,70.6,29.7,493.8,247.2,1.7,49.9,45.2
"2024-02-02 13:45:00",91,70.7,29.6,487.6,246.9,1.6,51.2,45.1
"2024-02-02 13:50:00",91,70.8,29.5,483.4,248.2,1.7,54.2,44.5
"2024-02-02 13:55:00",90.6,70.9,29.5,495.9,259.3,2.3,55.9,43.2
"2024-02-02 14:00:00",90.1,71,29.6,514.4,259.3,2.2,52.7,45
"2024-02-02 14:05:00",90,71.1,29.8,536,260.6,2.2,61.4,64.4
"2024-02-02 14:10:00",89.9,71.3,29.8,544.2,261.4,2.1,60.3,64
"2024-02-02 14:15:00",89.1,71.5,29.9,557.7,266.4,2.3,73.1,63.3
"2024-02-02 14:20:00",88.5,71.5,30.2,592.7,274.4,2.4,71.1,64.1
"2024-02-02 14:25:00",88,71.6,30.1,602.2,275.2,1.9,69,64.2
"2024-02-02 14:30:00",88,71.8,29.9,601.9,280,1.4,72.2,64.3
"2024-02-02 14:35:00",88,72.1,29.8,603.5,307.2,1.6,74.5,23.7
"2024-02-02 14:40:00",88,72.1,29.7,596.8,294,2,81.7,0
"2024-02-02 14:45:00",88,72.1,29.6,589,291,1.6,81.4,0
"2024-02-02 14:50:00",88,71.9,29.6,581.3,286,1.7,81.4,0
"2024-02-02 14:55:00",88,72.1,29.5,575.2,290.4,1.4,80.8,0
"2024-02-02 15:00:00",88,72.2,29.6,585.1,292.6,1.6,69.3,21.7
"2024-02-02 15:05:00",87.7,72.2,29.7,602.2,300.8,2.2,61.3,63.8
"2024-02-02 15:10:00",87.2,72.4,29.6,607.5,313.1,2.4,58.3,65.3
"2024-02-02 15:15:00",87.6,72.5,29.5,609.3,299.3,1.9,56.9,65.8
"2024-02-02 15:20:00",87.4,72.5,29.4,609.8,292.4,1.5,57.5,65.8
"2024-02-02 15:25:00",87.7,72.7,29.2,601.1,290.5,1.5,60.7,65.5
"2024-02-02 15:30:00",87.8,72.8,29.1,594.6,290.9,1.4,60.4,64.7
